Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1269115,17.1591566,138.016,5.899
385,48.126891,17.1591604,138.01,5.997
825,48.1268648,17.1591658,137.966,5.907
1210,48.1268444,17.1591691,137.963,6.02
1595,48.1268211,17.1591731,137.904,5.929
1980,48.1268005,17.1591771,137.887,6.063
2420,48.1267772,17.1591823,137.862,5.962
2805,48.126757,17.1591866,137.904,5.819
3190,48.1267365,17.1591908,137.869,5.932
3630,48.1267159,17.1591962,137.844,5.984
4015,48.1266953,17.1592005,137.81,5.957
4400,48.1266778,17.1592049,137.759,5.914
4785,48.1266545,17.1592103,137.769,5.982
5225,48.1266342,17.159215,137.733,5.968
5610,48.1266112,17.1592201,137.674,5.938
5995,48.126591,17.1592244,137.624,5.866
6380,48.1265706,17.1592292,137.633,5.942
6820,48.1265473,17.1592341,137.603,5.955
7205,48.1265242,17.1592396,137.589,5.909
7590,48.126504,17.1592437,137.551,5.899
8030,48.1264838,17.1592486,137.553,5.958
8415,48.1264606,17.1592531,137.515,5.968
8800,48.1264406,17.1592578,137.543,5.881
9185,48.1264203,17.1592617,137.521,6.037
9625,48.1264,17.1592659,137.478,5.898
10010,48.1263798,17.1592703,137.468,5.836
10395,48.1263623,17.1592735,137.455,5.897
10780,48.1263392,17.1592788,137.471,5.846
11220,48.126319,17.1592831,137.53,5.907
11605,48.1262989,17.159288,137.594,5.925
11990,48.1262733,17.1592934,137.602,5.807
12430,48.1262535,17.1592972,137.613,5.787
12815,48.126234,17.1593006,137.609,5.741
13200,48.1262119,17.1593045,137.64,5.6
13640,48.1261919,17.1593099,137.634,5.911
14025,48.1261693,17.1593159,137.632,5.778
14410,48.1261497,17.1593199,137.61,5.657
14795,48.1261304,17.1593242,137.548,5.752
15235,48.1261106,17.15933,137.501,5.838
15620,48.1260906,17.1593358,137.451,5.899
16005,48.1260702,17.1593428,137.378,5.976
16390,48.1260497,17.1593488,137.36,6.006
16830,48.1260258,17.1593548,137.492,5.985
17215,48.1260052,17.1593596,137.516,5.948
17600,48.1259817,17.1593638,137.509,6.019
17985,48.1259609,17.1593682,137.483,6.12
18425,48.1259405,17.1593721,137.516,5.986
18810,48.1259198,17.1593762,137.542,6.004
19195,48.1258964,17.1593808,137.517,6
19635,48.1258759,17.159385,137.53,6.039
20020,48.1258557,17.159389,137.499,5.9
20405,48.1258382,17.1593925,137.49,5.915
20845,48.1258149,17.1593981,137.48,5.997
21230,48.1257945,17.1594025,137.525,6.099
21615,48.125771,17.1594085,137.574,6.087
22000,48.1257506,17.1594136,137.56,6.114
22385,48.1257331,17.1594173,137.563,5.946
22825,48.1257044,17.1594245,137.556,5.855
23210,48.1256874,17.1594276,137.607,5.629
23595,48.1256671,17.1594324,137.537,5.923
24035,48.1256466,17.1594365,137.51,5.924
24420,48.1256262,17.1594415,137.548,5.957
24805,48.1256,17.1594474,137.625,5.987
25190,48.1255797,17.1594522,137.633,5.99
25630,48.1255564,17.1594575,137.641,5.987
26015,48.1255357,17.1594622,137.636,6.052
26400,48.1255184,17.1594665,137.659,5.93
26785,48.1254976,17.1594704,137.675,5.977
27225,48.1254772,17.1594752,137.726,5.907
27610,48.1254538,17.1594791,137.766,5.902
27995,48.1254332,17.1594838,137.778,5.983
28380,48.1254127,17.1594876,137.796,6.018
28820,48.1253864,17.1594932,137.776,6.008
29205,48.125366,17.1594972,137.765,6
29590,48.1253456,17.1595012,137.742,5.9
30030,48.1253251,17.1595055,137.678,5.923
30415,48.1253044,17.1595094,137.6,6.031
30800,48.1252833,17.1595135,137.473,6.111
31240,48.125262,17.1595169,137.451,6.149
31625,48.125238,17.1595196,137.424,6.073
32010,48.1252168,17.1595221,137.402,6.135
32395,48.1251954,17.1595258,137.366,6.149
32835,48.1251713,17.1595283,137.359,6.077
33220,48.1251499,17.1595298,137.344,6.215
33605,48.1251256,17.1595312,137.387,6.071
33990,48.1251038,17.1595312,137.343,6.145
34430,48.1250789,17.159529,137.382,6.134
34815,48.1250573,17.1595264,137.374,6.133
35200,48.1250355,17.1595237,137.312,6.361
35585,48.1250131,17.1595211,137.271,6.306
36025,48.1249914,17.1595182,137.246,6.251
36410,48.124973,17.159514,137.255,6.315
36795,48.1249489,17.1595088,137.233,6.139
37235,48.1249281,17.159503,137.195,6.096
37620,48.1249043,17.1594967,137.245,6.099
38005,48.1248837,17.1594905,137.256,5.975
38390,48.1248631,17.1594833,137.237,6.116
38830,48.1248399,17.1594752,137.242,5.965
39215,48.124817,17.1594657,137.294,6.027
39600,48.1247972,17.1594575,137.283,5.87
39985,48.1247779,17.159448,137.274,5.903
40425,48.1247562,17.159438,137.238,5.815
40810,48.124737,17.1594283,137.204,5.837
41195,48.1247174,17.1594196,137.117,5.96
41580,48.1246954,17.1594088,137.047,5.885
42020,48.124679,17.1594005,137.003,5.795
42405,48.1246598,17.1593911,136.946,5.702
42790,48.1246407,17.1593815,136.918,5.77
43230,48.124622,17.1593714,136.904,5.667
43615,48.1246008,17.1593593,136.84,5.752
44000,48.1245814,17.1593498,136.839,5.834
44385,48.1245652,17.1593416,136.85,5.739
44825,48.1245407,17.1593289,136.865,5.793
45210,48.1245187,17.1593182,136.918,5.744
45595,48.1244999,17.1593074,136.94,5.728
45980,48.1244809,17.159297,136.975,5.786
46420,48.1244594,17.1592839,136.992,5.766
46805,48.1244405,17.1592729,136.999,5.926
47190,48.1244218,17.1592626,137.033,5.748
47630,48.1244028,17.1592517,137.071,5.866
48015,48.1243837,17.1592416,137.066,5.789
48400,48.1243674,17.1592323,137.052,5.791
48785,48.1243455,17.1592211,137.079,5.809
49225,48.1243264,17.159211,137.085,5.868
49610,48.1243046,17.1592001,137.091,5.846
49995,48.1242854,17.1591898,137.082,5.945
50435,48.1242666,17.1591794,137.1,5.788
50820,48.1242451,17.1591679,137.113,5.697
51205,48.1242263,17.1591572,137.108,5.802
