Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.0810041,17.1588433,134.087,2.471
55,48.0810055,17.1588414,134.204,2.302
165,48.0810064,17.1588402,134.137,2.284
220,48.0810077,17.1588392,134.085,2.38
330,48.0810098,17.1588376,133.905,2.346
385,48.0810109,17.1588365,133.864,2.381
440,48.081013,17.1588348,133.744,2.408
550,48.0810142,17.158833,133.604,2.546
660,48.0810164,17.158831,133.557,2.5
715,48.0810174,17.15883,133.555,2.483
770,48.0810193,17.1588274,133.55,2.597
880,48.0810202,17.1588262,133.559,2.609
935,48.0810225,17.1588242,133.566,2.655
1045,48.0810232,17.1588226,133.535,2.66
1100,48.0810253,17.1588192,133.469,2.924
1210,48.0810264,17.1588178,133.496,2.932
1265,48.0810272,17.1588162,133.568,2.921
1375,48.0810291,17.1588128,133.573,2.861
1430,48.0810297,17.1588115,133.786,2.797
1485,48.0810311,17.1588087,133.833,2.658
1595,48.0810321,17.1588071,133.836,2.702
1705,48.081034,17.1588046,133.974,2.585
1760,48.0810349,17.1588032,134,2.608
1815,48.0810367,17.1588,134.04,2.652
1925,48.0810379,17.1587993,134.121,2.549
1980,48.08104,17.1587964,134.142,2.595
2090,48.081041,17.1587948,134.167,2.693
2145,48.0810422,17.158794,134.204,2.626
2255,48.0810446,17.1587911,134.09,2.58
2310,48.0810457,17.1587895,134.044,2.588
2365,48.0810484,17.1587873,134.033,2.749
2475,48.0810495,17.1587861,134.01,2.631
2530,48.0810514,17.1587841,134.018,2.506
2640,48.0810522,17.1587829,134.023,2.383
2695,48.0810542,17.1587801,133.975,2.418
2805,48.0810553,17.1587789,133.934,2.466
2860,48.0810569,17.1587768,134.131,2.369
2970,48.081058,17.158776,134.2,2.327
3025,48.0810597,17.1587754,134.265,2.533
3135,48.0810617,17.1587731,134.29,2.454
3190,48.0810628,17.158772,134.328,2.459
3300,48.0810646,17.15877,134.489,2.368
3355,48.0810659,17.1587687,134.522,2.564
3410,48.0810682,17.1587651,134.481,2.87
3520,48.0810687,17.1587637,134.51,2.658
3575,48.0810703,17.1587608,134.54,2.62
3685,48.0810711,17.1587597,134.501,2.397
3740,48.0810722,17.1587571,134.61,2.26
3850,48.0810734,17.1587561,134.596,2.296
3905,48.0810742,17.1587552,134.651,2.262
4015,48.0810768,17.1587531,134.729,2.564
