Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
4895,48.1297617,17.1573248,140.751,4.674,4.67,1650122385854000,124,3
4950,48.1297603,17.1573274,140.751,4.683,4.67,1650122385909000,124,3
5005,48.129759,17.15733,140.757,4.574,4.68,1650122385964000,124,3
5060,48.1297576,17.1573325,140.766,4.558,4.57,1650122386019000,124,3
5115,48.1297563,17.1573351,140.768,4.572,4.56,1650122386074000,124,3
5170,48.1297535,17.1573403,140.757,4.538,4.59,1650122386129000,124,3
5280,48.1297521,17.157343,140.745,4.598,4.54,1650122386239000,124,3
5335,48.1297507,17.1573457,140.756,4.637,4.6,1650122386294000,124,3
5390,48.1297493,17.1573483,140.753,4.563,4.64,1650122386349000,124,3
5500,48.1297466,17.1573535,140.727,4.507,4.57,1650122386459000,124,3
5555,48.1297453,17.1573563,140.729,4.565,4.51,1650122386514000,124,3
5610,48.129744,17.1573591,140.715,4.595,4.57,1650122386569000,124,3
5665,48.1297427,17.1573617,140.738,4.515,4.59,1650122386624000,124,3
5775,48.1297414,17.1573643,140.713,4.49,4.52,1650122386734000,124,3
5830,48.1297387,17.1573698,140.688,4.567,4.52,1650122386789000,124,3
5885,48.1297374,17.1573726,140.706,4.598,4.57,1650122386844000,124,3
5940,48.1297362,17.1573753,140.727,4.542,4.6,1650122386899000,139,3
5995,48.1297349,17.1573778,140.734,4.491,4.54,1650122386954000,124,3
6105,48.1297335,17.1573807,140.703,4.557,4.49,1650122387064000,124,3
6160,48.1297309,17.1573862,140.669,4.578,4.57,1650122387119000,124,3
6215,48.1297296,17.1573888,140.698,4.534,4.58,1650122387174000,124,3
6270,48.1297284,17.1573914,140.691,4.485,4.53,1650122387229000,124,3
6325,48.129727,17.1573939,140.651,4.456,4.48,1650122387284000,124,3
6435,48.1297242,17.1573992,140.698,4.489,4.47,1650122387394000,124,3
6490,48.1297228,17.1574017,140.69,4.488,4.49,1650122387449000,124,3
6545,48.1297214,17.1574041,140.679,4.469,4.49,1650122387504000,124,3
6600,48.12972,17.1574068,140.703,4.51,4.47,1650122387559000,124,3
6655,48.1297186,17.1574094,140.714,4.57,4.51,1650122387614000,124,3
6765,48.1297155,17.1574143,140.755,4.499,4.54,1650122387724000,124,3
6820,48.1297142,17.1574167,140.733,4.436,4.5,1650122387779000,124,3
6875,48.1297128,17.1574191,140.731,4.415,4.44,1650122387834000,124,3
6930,48.1297113,17.1574214,140.735,4.334,4.41,1650122387889000,124,3
7041,48.1297084,17.157426,140.72,4.322,4.32,1650122388000000,124,3
7095,48.129707,17.1574284,140.714,4.316,4.32,1650122388054000,124,3
7150,48.1297055,17.1574306,140.7,4.312,4.32,1650122388109000,124,3
7205,48.129704,17.1574329,140.697,4.286,4.31,1650122388164000,124,3
7260,48.1297025,17.1574352,140.686,4.311,4.29,1650122388219000,124,3
7370,48.1296994,17.1574399,140.705,4.366,4.39,1650122388329000,124,3
7425,48.1296977,17.1574421,140.689,4.443,4.37,1650122388384000,124,3
7480,48.1296962,17.1574445,140.692,4.423,4.44,1650122388439000,124,3
7535,48.1296947,17.1574468,140.701,4.388,4.42,1650122388494000,124,3
7590,48.1296932,17.1574492,140.708,4.439,4.39,1650122388549000,124,3
7700,48.1296902,17.1574535,140.698,4.318,4.33,1650122388659000,124,3
7755,48.1296888,17.1574555,140.672,4.207,4.32,1650122388714000,124,3
7810,48.1296873,17.1574578,140.674,4.27,4.21,1650122388769000,124,3
7865,48.1296859,17.1574602,140.668,4.282,4.27,1650122388824000,124,3
7975,48.1296844,17.1574626,140.652,4.34,4.28,1650122388934000,124,3
8030,48.1296815,17.1574671,140.69,4.3,4.28,1650122388989000,124,3
8085,48.12968,17.1574694,140.685,4.3,4.3,1650122389044000,124,3
8140,48.1296785,17.1574717,140.686,4.355,4.3,1650122389099000,124,3
8195,48.1296771,17.1574741,140.663,4.377,4.36,1650122389154000,124,3
8305,48.1296742,17.1574787,140.618,4.348,4.32,1650122389264000,124,3
8360,48.1296727,17.1574809,140.582,4.282,4.35,1650122389319000,124,3
8415,48.1296711,17.1574831,140.587,4.328,4.28,1650122389374000,124,3
8470,48.1296696,17.1574853,140.569,4.305,4.33,1650122389429000,124,3
8525,48.129668,17.1574878,140.564,4.405,4.31,1650122389484000,124,3
8635,48.1296652,17.1574923,140.546,4.281,4.3,1650122389594000,124,3
8690,48.1296636,17.1574946,140.545,4.32,4.28,1650122389649000,124,3
8745,48.1296623,17.1574967,140.567,4.19,4.32,1650122389704000,124,3
8800,48.1296609,17.1574989,140.572,4.197,4.19,1650122389759000,124,3
8855,48.1296595,17.1575013,140.571,4.198,4.2,1650122389814000,124,3
8965,48.1296566,17.1575058,140.564,4.216,4.2,1650122389924000,124,3
9020,48.1296551,17.1575081,140.58,4.224,4.22,1650122389979000,124,3
9075,48.1296537,17.1575104,140.575,4.243,4.22,1650122390034000,139,3
9130,48.1296522,17.1575126,140.573,4.208,4.24,1650122390089000,124,3
9185,48.1296494,17.157517,140.617,4.166,4.23,1650122390144000,124,3
9295,48.1296477,17.1575193,140.609,4.29,4.17,1650122390254000,124,3
9350,48.129646,17.1575214,140.559,4.298,4.29,1650122390309000,124,3
9405,48.1296447,17.1575235,140.545,4.203,4.3,1650122390364000,124,3
9460,48.1296434,17.1575258,140.516,4.174,4.2,1650122390419000,124,3
9570,48.1296404,17.15753,140.48,4.154,4.04,1650122390529000,124,3
9625,48.1296389,17.1575322,140.514,4.197,4.16,1650122390584000,124,3
9680,48.1296376,17.1575344,140.513,4.137,4.2,1650122390639000,124,3
9735,48.129636,17.1575365,140.491,4.165,4.14,1650122390694000,124,3
9790,48.1296331,17.1575412,140.48,4.268,4.22,1650122390749000,124,3
9900,48.1296314,17.1575435,140.451,4.362,4.27,1650122390859000,124,3
9955,48.1296301,17.1575454,140.428,4.15,4.36,1650122390914000,124,3
10010,48.1296284,17.1575481,140.424,4.4,4.15,1650122390969000,124,3
10065,48.129627,17.1575503,140.437,4.353,4.4,1650122391024000,124,3
10120,48.1296246,17.157555,140.446,4.165,4.29,1650122391079000,124,3
