Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
4840,48.1537375,17.2240103,131.487,4.825,4.81,1650196411434000,161,3
4895,48.1537377,17.2240137,131.461,4.699,4.82,1650196411489000,161,3
5005,48.1537382,17.2240209,131.456,4.828,4.78,1650196411599000,161,3
5060,48.1537385,17.2240245,131.466,4.791,4.83,1650196411654000,161,3
5115,48.1537388,17.224028,131.449,4.772,4.79,1650196411709000,161,3
5170,48.1537391,17.2240314,131.43,4.714,4.77,1650196411764000,161,3
5280,48.1537395,17.2240385,131.43,4.694,4.78,1650196411874000,161,3
5335,48.1537395,17.224042,131.421,4.707,4.69,1650196411929000,161,3
5390,48.1537397,17.2240454,131.41,4.683,4.71,1650196411984000,161,3
5445,48.1537398,17.2240492,131.417,4.835,4.68,1650196412039000,161,3
5500,48.1537402,17.2240529,131.409,4.898,4.84,1650196412094000,161,3
5555,48.1537405,17.2240599,131.433,4.716,4.85,1650196412149000,161,3
5665,48.1537406,17.2240632,131.424,4.671,4.72,1650196412259000,161,3
5720,48.1537405,17.2240667,131.416,4.673,4.67,1650196412314000,161,3
5775,48.1537408,17.2240703,131.403,4.784,4.67,1650196412369000,161,3
5830,48.153741,17.2240735,131.378,4.584,4.78,1650196412424000,161,3
5940,48.1537416,17.2240807,131.378,4.791,4.75,1650196412534000,161,3
5995,48.1537417,17.2240844,131.363,4.887,4.79,1650196412589000,161,3
6050,48.1537419,17.2240879,131.352,4.798,4.89,1650196412644000,161,3
6105,48.1537421,17.2240914,131.374,4.778,4.8,1650196412699000,161,3
6160,48.1537422,17.2240949,131.382,4.758,4.78,1650196412754000,161,3
6270,48.1537427,17.2241022,131.381,4.856,4.82,1650196412864000,161,3
6325,48.1537429,17.2241057,131.4,4.792,4.86,1650196412919000,161,3
6380,48.1537431,17.2241094,131.371,4.918,4.79,1650196412974000,161,3
6435,48.1537433,17.2241128,131.371,4.802,4.92,1650196413029000,161,3
6490,48.1537438,17.2241199,131.369,4.813,4.77,1650196413084000,161,3
6600,48.153744,17.2241236,131.367,4.841,4.81,1650196413194000,161,3
6655,48.1537442,17.2241274,131.377,4.941,4.84,1650196413249000,161,3
6710,48.1537446,17.2241309,131.359,4.885,4.94,1650196413304000,161,3
6765,48.1537449,17.2241343,131.372,4.787,4.89,1650196413359000,161,3
6875,48.1537451,17.2241415,131.374,4.821,4.82,1650196413469000,161,3
6930,48.1537452,17.2241451,131.391,4.811,4.82,1650196413524000,161,3
6985,48.1537455,17.2241488,131.425,4.827,4.81,1650196413579000,161,3
7040,48.1537457,17.2241523,131.411,4.825,4.83,1650196413634000,161,3
7095,48.1537461,17.2241594,131.42,4.787,4.8,1650196413689000,161,3
7205,48.1537462,17.2241629,131.409,4.794,4.79,1650196413799000,161,3
7260,48.1537464,17.2241665,131.398,4.815,4.79,1650196413854000,161,3
7315,48.1537466,17.2241701,131.425,4.774,4.81,1650196413909000,161,3
7370,48.1537466,17.2241736,131.434,4.731,4.77,1650196413964000,161,3
7425,48.1537469,17.2241808,131.415,4.847,4.74,1650196414019000,161,3
7535,48.1537471,17.2241844,131.412,4.873,4.85,1650196414129000,161,3
7590,48.1537475,17.2241881,131.436,4.876,4.87,1650196414184000,161,3
7645,48.1537476,17.2241915,131.415,4.798,4.88,1650196414239000,161,3
7700,48.153748,17.2241951,131.421,4.835,4.8,1650196414294000,161,3
7810,48.1537487,17.2242023,131.441,4.872,4.79,1650196414404000,161,3
7865,48.1537488,17.2242059,131.444,4.886,4.87,1650196414459000,161,3
7920,48.153749,17.2242094,131.435,4.849,4.89,1650196414514000,161,3
7975,48.1537495,17.2242128,131.434,4.75,4.85,1650196414569000,161,3
8030,48.1537505,17.2242198,131.418,4.804,4.86,1650196414624000,161,3
8140,48.1537511,17.2242232,131.4,4.779,4.8,1650196414734000,161,3
8195,48.1537515,17.2242268,131.42,4.812,4.78,1650196414789000,161,3
8250,48.1537519,17.2242304,131.42,4.863,4.81,1650196414844000,161,3
8305,48.1537524,17.2242339,131.42,4.859,4.86,1650196414899000,161,3
8360,48.1537532,17.2242414,131.444,4.945,5.02,1650196414954000,161,3
8470,48.1537535,17.2242449,131.444,4.86,4.95,1650196415064000,161,3
8525,48.1537539,17.2242484,131.45,4.847,4.86,1650196415119000,161,3
8580,48.1537542,17.2242521,131.458,4.872,4.85,1650196415174000,161,3
8635,48.1537549,17.2242554,131.447,4.819,4.87,1650196415229000,161,3
8745,48.1537558,17.2242624,131.395,4.842,4.87,1650196415339000,161,3
8800,48.1537566,17.224266,131.41,4.889,4.84,1650196415394000,161,3
8855,48.1537571,17.2242696,131.404,4.925,4.89,1650196415449000,161,3
8910,48.1537575,17.2242729,131.364,4.825,4.92,1650196415504000,161,3
8965,48.153758,17.2242761,131.349,4.704,4.83,1650196415559000,161,3
9075,48.1537592,17.2242827,131.345,4.626,4.67,1650196415669000,161,3
9130,48.1537599,17.2242861,131.326,4.731,4.63,1650196415724000,161,3
9185,48.1537607,17.2242894,131.288,4.764,4.73,1650196415779000,161,3
9240,48.1537615,17.2242928,131.296,4.748,4.76,1650196415834000,161,3
9350,48.1537623,17.2242962,131.306,4.75,4.75,1650196415944000,161,3
9406,48.1537633,17.2243029,131.278,4.699,4.67,1650196416000000,161,3
9460,48.1537641,17.2243064,131.262,4.775,4.7,1650196416054000,161,3
9515,48.1537649,17.2243098,131.267,4.832,4.78,1650196416109000,161,3
9570,48.1537655,17.2243133,131.269,4.819,4.83,1650196416164000,161,3
9625,48.1537667,17.2243203,131.243,4.837,4.89,1650196416219000,161,3
9735,48.1537673,17.2243238,131.239,4.848,4.84,1650196416329000,161,3
9790,48.1537681,17.2243272,131.235,4.876,4.85,1650196416384000,161,3
9845,48.1537689,17.2243303,131.203,4.789,4.88,1650196416439000,161,3
9900,48.1537697,17.2243333,131.182,4.652,4.79,1650196416494000,161,3
10010,48.1537712,17.2243399,131.195,4.605,4.65,1650196416604000,161,3
10065,48.153772,17.2243432,131.186,4.644,4.61,1650196416659000,161,3
10120,48.1537728,17.2243461,131.145,4.574,4.64,1650196416714000,161,3
10175,48.1537734,17.2243492,131.119,4.58,4.57,1650196416769000,161,3
10230,48.1537742,17.2243527,131.125,4.655,4.58,1650196416824000,161,3
10340,48.1537759,17.224359,131.095,4.68,4.61,1650196416934000,161,3
10395,48.1537767,17.2243618,131.037,4.62,4.68,1650196416989000,161,3
10450,48.1537775,17.224365,131.026,4.582,4.62,1650196417044000,161,3
10505,48.1537783,17.2243681,131.017,4.492,4.58,1650196417099000,161,3
10615,48.1537795,17.2243755,131.053,4.723,4.71,1650196417209000,161,3
10670,48.1537803,17.2243789,131.072,4.721,4.72,1650196417264000,161,3
10725,48.153781,17.2243823,131.071,4.709,4.72,1650196417319000,161,3
10780,48.1537816,17.2243856,131.056,4.703,4.71,1650196417374000,161,3
10835,48.1537823,17.2243888,131.048,4.651,4.7,1650196417429000,161,3
10945,48.1537836,17.224396,131.073,4.753,4.73,1650196417539000,161,3
11000,48.1537842,17.2243998,131.085,4.862,4.75,1650196417594000,161,3
11055,48.1537848,17.2244034,131.088,4.888,4.86,1650196417649000,161,3
11110,48.1537855,17.2244069,131.097,4.847,4.89,1650196417704000,161,3
11165,48.1537862,17.22441,131.09,4.71,4.85,1650196417759000,161,3
11275,48.1537874,17.2244172,131.13,4.751,4.75,1650196417869000,161,3
11330,48.1537881,17.2244204,131.109,4.744,4.75,1650196417924000,161,3
11385,48.1537886,17.2244239,131.101,4.776,4.74,1650196417979000,161,3
11440,48.1537892,17.2244276,131.142,4.792,4.78,1650196418034000,161,3
11550,48.1537905,17.2244344,131.125,4.771,4.78,1650196418144000,161,3
11605,48.1537909,17.2244378,131.122,4.734,4.77,1650196418199000,161,3
11660,48.1537915,17.2244414,131.13,4.805,4.73,1650196418254000,161,3
11715,48.1537922,17.2244448,131.129,4.768,4.81,1650196418309000,161,3
11770,48.1537928,17.2244483,131.124,4.831,4.77,1650196418364000,161,3
11880,48.1537939,17.2244554,131.157,4.775,4.78,1650196418474000,161,3
11935,48.1537946,17.2244588,131.172,4.761,4.78,1650196418529000,161,3
11990,48.1537952,17.2244623,131.195,4.739,4.76,1650196418584000,161,3
12045,48.1537958,17.2244659,131.2,4.829,4.74,1650196418639000,161,3
12155,48.1537964,17.2244694,131.209,4.83,4.83,1650196418749000,161,3
12210,48.1537976,17.2244764,131.201,4.87,4.82,1650196418804000,161,3
12265,48.1537982,17.2244799,131.217,4.795,4.87,1650196418859000,161,3
12320,48.1537988,17.2244833,131.22,4.794,4.79,1650196418914000,161,3
12375,48.1537994,17.2244868,131.212,4.854,4.79,1650196418969000,161,3
12430,48.1538,17.2244902,131.208,4.811,4.85,1650196419024000,161,3
12540,48.1538011,17.2244972,131.234,4.797,4.79,1650196419134000,161,3
12595,48.1538017,17.2245008,131.219,4.907,4.8,1650196419189000,161,3
12650,48.1538023,17.2245043,131.227,4.87,4.91,1650196419244000,161,3
12705,48.1538029,17.2245078,131.233,4.815,4.87,1650196419299000,161,3
12815,48.1538041,17.2245145,131.233,4.693,4.77,1650196419409000,161,3
12870,48.1538046,17.2245186,131.283,4.9,4.69,1650196419464000,161,3
12925,48.1538051,17.224522,131.273,4.845,4.9,1650196419519000,161,3
12980,48.1538057,17.2245255,131.258,4.828,4.85,1650196419574000,161,3
13090,48.1538063,17.2245289,131.257,4.775,4.83,1650196419684000,161,3
13145,48.1538075,17.2245359,131.266,4.757,4.75,1650196419739000,161,3
13200,48.153808,17.2245393,131.266,4.714,4.76,1650196419794000,161,3
13255,48.1538087,17.2245428,131.29,4.679,4.71,1650196419849000,161,3
13310,48.1538091,17.2245464,131.298,4.777,4.68,1650196419904000,161,3
13365,48.1538105,17.2245534,131.264,4.859,4.89,1650196419959000,161,3
13475,48.1538111,17.2245569,131.259,4.843,4.86,1650196420069000,161,3
13530,48.1538117,17.2245602,131.247,4.773,4.84,1650196420124000,161,3
13585,48.1538121,17.2245642,131.293,4.887,4.77,1650196420179000,161,3
13640,48.1538127,17.224568,131.286,4.99,4.89,1650196420234000,161,3
13750,48.1538141,17.2245748,131.289,4.838,4.83,1650196420344000,161,3
13805,48.1538148,17.2245782,131.264,4.852,4.84,1650196420399000,161,3
13860,48.1538154,17.2245817,131.259,4.832,4.85,1650196420454000,161,3
13915,48.1538159,17.2245851,131.241,4.834,4.83,1650196420509000,161,3
13970,48.1538165,17.2245887,131.257,4.807,4.83,1650196420564000,161,3
14080,48.1538177,17.2245954,131.273,4.696,4.72,1650196420674000,161,3
14135,48.1538182,17.2245991,131.258,4.856,4.7,1650196420729000,161,3
14190,48.1538187,17.2246027,131.245,4.91,4.86,1650196420784000,161,3
14245,48.1538192,17.2246061,131.238,4.856,4.91,1650196420839000,161,3
14300,48.1538197,17.2246095,131.227,4.807,4.86,1650196420894000,161,3
14410,48.1538209,17.2246166,131.238,4.875,4.76,1650196421004000,161,3
14465,48.1538215,17.2246201,131.235,4.838,4.87,1650196421059000,161,3
14520,48.1538221,17.2246236,131.239,4.821,4.84,1650196421114000,161,3
14575,48.1538225,17.2246272,131.226,4.878,4.82,1650196421169000,161,3
14685,48.1538234,17.2246341,131.217,4.803,4.83,1650196421279000,161,3
14740,48.1538238,17.2246379,131.229,4.922,4.8,1650196421334000,161,3
14795,48.1538243,17.2246415,131.247,4.936,4.92,1650196421389000,161,3
14850,48.1538248,17.2246452,131.25,4.981,4.94,1650196421444000,161,3
14905,48.1538253,17.2246486,131.248,4.838,4.98,1650196421499000,161,3
15015,48.1538263,17.2246558,131.226,4.992,4.79,1650196421609000,161,3
15070,48.1538267,17.2246593,131.25,4.904,4.99,1650196421664000,161,3
15125,48.1538271,17.2246628,131.26,4.795,4.9,1650196421719000,161,3
15180,48.1538277,17.2246662,131.247,4.823,4.8,1650196421774000,161,3
15235,48.1538282,17.2246697,131.244,4.808,4.82,1650196421829000,161,3
15345,48.1538293,17.2246766,131.256,4.787,4.82,1650196421939000,161,3
15400,48.1538299,17.2246803,131.283,4.869,4.79,1650196421994000,161,3
15455,48.1538305,17.2246838,131.259,4.921,4.87,1650196422049000,161,3
15510,48.1538311,17.2246874,131.276,4.9,4.92,1650196422104000,161,3
15620,48.1538322,17.2246942,131.272,4.781,4.8,1650196422214000,161,3
15675,48.1538329,17.2246979,131.255,4.958,4.78,1650196422269000,161,3
15730,48.1538334,17.2247014,131.222,4.94,4.96,1650196422324000,161,3
15785,48.1538341,17.224705,131.25,4.901,4.94,1650196422379000,161,3
15840,48.1538345,17.2247085,131.271,4.791,4.9,1650196422434000,161,3
15950,48.1538353,17.2247156,131.257,4.881,4.78,1650196422544000,161,3
16005,48.1538359,17.2247193,131.242,4.918,4.88,1650196422599000,161,3
16060,48.1538365,17.2247227,131.237,4.806,4.92,1650196422654000,161,3
16115,48.153837,17.2247262,131.222,4.822,4.81,1650196422709000,161,3
16170,48.1538376,17.2247297,131.206,4.846,4.82,1650196422764000,161,3
16280,48.1538387,17.2247368,131.207,4.802,4.87,1650196422874000,161,3
16335,48.1538393,17.2247403,131.18,4.864,4.8,1650196422929000,161,3
16390,48.1538399,17.2247439,131.185,4.862,4.86,1650196422984000,161,3
16445,48.1538403,17.2247474,131.162,4.876,4.86,1650196423039000,161,3
16555,48.1538414,17.2247543,131.161,4.825,4.8,1650196423149000,161,3
16610,48.153842,17.224758,131.155,4.967,4.82,1650196423204000,161,3
16665,48.1538425,17.2247615,131.15,4.879,4.97,1650196423259000,161,3
