Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
5830,48.0934584,17.1480164,127.031,3.638,3.68,1650297151140000,119,3
5940,48.0934611,17.1480129,127.066,3.621,3.72,1650297151250000,119,3
5995,48.0934625,17.1480112,127.039,3.669,3.62,1650297151305000,119,3
6105,48.0934653,17.1480077,127.035,3.655,3.63,1650297151415000,119,3
6160,48.0934666,17.148006,127.06,3.592,3.66,1650297151470000,119,3
6215,48.0934679,17.1480045,127.058,3.519,3.59,1650297151525000,119,3
6325,48.0934706,17.1480014,127.086,3.45,3.45,1650297151635000,119,3
6435,48.0934722,17.1479999,127.099,3.598,3.45,1650297151745000,119,3
6490,48.093475,17.1479969,127.098,3.52,3.66,1650297151800000,119,3
6545,48.0934763,17.1479957,127.108,3.331,3.52,1650297151855000,119,3
6655,48.0934792,17.1479925,127.101,3.576,3.33,1650297151965000,119,3
6710,48.0934807,17.1479909,127.102,3.647,3.58,1650297152020000,119,3
6765,48.0934834,17.1479878,127.155,3.482,3.61,1650297152075000,119,3
6875,48.0934847,17.1479863,127.161,3.396,3.48,1650297152185000,119,3
6985,48.0934873,17.1479829,127.163,3.495,3.44,1650297152295000,119,3
7040,48.0934886,17.1479813,127.153,3.512,3.5,1650297152350000,119,3
7095,48.093491,17.1479781,127.186,3.28,3.38,1650297152405000,119,3
7205,48.0934922,17.1479764,127.197,3.327,3.28,1650297152515000,119,3
7260,48.0934946,17.1479728,127.191,3.432,3.44,1650297152570000,119,3
7370,48.0934957,17.1479712,127.195,3.35,3.43,1650297152680000,119,3
7425,48.0934982,17.1479677,127.175,3.461,3.36,1650297152735000,119,3
7535,48.0934993,17.147966,127.164,3.419,3.46,1650297152845000,119,3
7590,48.0935015,17.1479623,127.159,3.379,3.36,1650297152900000,119,3
7700,48.0935026,17.1479604,127.155,3.388,3.38,1650297153010000,119,3
7755,48.0935036,17.1479585,127.15,3.309,3.39,1650297153065000,119,3
