Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
4895,48.1461227,17.1596181,136.301,3.818,3.93,1650124964474000,133,3
4950,48.1461243,17.1596164,136.315,3.866,3.82,1650124964529000,133,3
5005,48.1461259,17.1596148,136.317,3.889,3.87,1650124964584000,133,3
5060,48.1461276,17.1596132,136.296,3.919,3.89,1650124964639000,133,3
5115,48.1461293,17.159612,136.272,3.908,3.92,1650124964694000,133,3
5225,48.1461331,17.15961,136.243,3.928,3.93,1650124964804000,133,3
5280,48.1461349,17.1596091,136.198,3.888,3.93,1650124964859000,133,3
5335,48.1461368,17.1596082,136.144,3.894,3.89,1650124964914000,133,3
5390,48.1461387,17.1596071,136.141,3.983,3.9,1650124964969000,133,3
5445,48.1461406,17.1596061,136.134,4.031,3.99,1650124965024000,133,3
5500,48.1461442,17.1596039,136.142,3.952,3.98,1650124965079000,133,3
5610,48.1461459,17.1596026,136.193,3.947,3.96,1650124965189000,133,3
5665,48.1461476,17.1596016,136.182,3.847,3.95,1650124965244000,133,3
5720,48.1461494,17.1596004,136.184,3.874,3.85,1650124965299000,133,3
5830,48.1461531,17.1595987,136.189,3.881,3.9,1650124965409000,133,3
5885,48.1461549,17.1595976,136.197,3.905,3.88,1650124965464000,142,3
5940,48.1461567,17.1595964,136.193,3.913,3.91,1650124965519000,133,3
5995,48.1461586,17.1595956,136.186,3.924,3.92,1650124965574000,133,3
6050,48.1461605,17.1595947,136.19,3.948,3.93,1650124965629000,133,3
6160,48.1461642,17.1595932,136.217,3.892,3.9,1650124965739000,133,3
6215,48.1461663,17.1595925,136.215,4.001,3.89,1650124965794000,133,3
6270,48.1461682,17.1595914,136.218,4.021,4,1650124965849000,133,3
6325,48.14617,17.159591,136.214,3.896,4.02,1650124965904000,142,3
6435,48.1461736,17.1595899,136.234,3.835,3.75,1650124966014000,142,3
6490,48.1461755,17.1595894,136.267,3.857,3.84,1650124966069000,142,3
6545,48.1461773,17.1595889,136.288,3.822,3.86,1650124966124000,142,3
6600,48.1461792,17.1595885,136.324,3.836,3.82,1650124966179000,142,3
6655,48.1461811,17.1595882,136.348,3.863,3.84,1650124966234000,142,3
6765,48.146185,17.1595881,136.354,3.878,3.92,1650124966344000,142,3
6820,48.1461867,17.159588,136.374,3.766,3.88,1650124966399000,142,3
6875,48.1461888,17.1595877,136.411,3.938,3.77,1650124966454000,142,3
6930,48.1461906,17.1595878,136.444,3.88,3.94,1650124966509000,142,3
6985,48.1461925,17.1595878,136.424,3.835,3.88,1650124966564000,142,3
7095,48.1461962,17.1595885,136.429,3.774,3.9,1650124966674000,142,3
7150,48.1461977,17.159589,136.445,3.563,3.77,1650124966729000,142,3
7205,48.1461992,17.1595896,136.493,3.488,3.56,1650124966784000,142,3
7260,48.1462006,17.1595904,136.547,3.422,3.49,1650124966839000,142,3
7315,48.1462042,17.1595917,136.583,3.586,3.52,1650124966894000,142,3
7425,48.1462056,17.1595926,136.564,3.434,3.59,1650124967004000,142,3
7480,48.1462073,17.1595933,136.578,3.447,3.43,1650124967059000,142,3
7535,48.1462093,17.1595941,136.586,3.68,3.45,1650124967114000,142,3
7590,48.1462112,17.1595948,136.575,3.756,3.68,1650124967169000,142,3
7700,48.1462148,17.1595969,136.526,3.777,3.84,1650124967279000,142,3
7755,48.1462164,17.159598,136.505,3.703,3.78,1650124967334000,142,3
7810,48.1462181,17.1595993,136.509,3.746,3.7,1650124967389000,142,3
7865,48.1462199,17.1596002,136.534,3.734,3.75,1650124967444000,142,3
7920,48.1462216,17.1596015,136.545,3.841,3.73,1650124967499000,142,3
8030,48.146225,17.1596041,136.545,3.838,3.81,1650124967609000,142,3
8085,48.1462265,17.1596055,136.54,3.733,3.84,1650124967664000,142,3
8140,48.1462282,17.1596069,136.552,3.822,3.73,1650124967719000,142,3
8195,48.1462298,17.1596082,136.552,3.774,3.82,1650124967774000,142,3
8250,48.1462314,17.1596095,136.58,3.764,3.77,1650124967829000,142,3
8360,48.1462346,17.1596128,136.566,3.842,3.84,1650124967939000,142,3
8415,48.1462362,17.1596143,136.563,3.855,3.84,1650124967994000,142,3
8470,48.1462377,17.159616,136.54,3.831,3.86,1650124968049000,142,3
8525,48.1462392,17.1596178,136.548,3.808,3.83,1650124968104000,142,3
8635,48.1462406,17.1596195,136.556,3.778,3.81,1650124968214000,142,3
8690,48.1462436,17.1596234,136.511,3.876,3.87,1650124968269000,142,3
8745,48.1462451,17.1596254,136.494,3.922,3.88,1650124968324000,142,3
8800,48.1462465,17.1596273,136.489,3.928,3.92,1650124968379000,142,3
