Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
7865,48.1483967,17.1611184,137.996,1.627,1.52,1650121743124000,488,3
7920,48.1483967,17.161117,137.958,1.654,1.64,1650121743179000,488,3
7975,48.1483971,17.1611149,137.835,1.525,1.67,1650121743234000,488,3
8085,48.1483967,17.1611133,137.798,1.706,1.54,1650121743344000,488,3
8140,48.148396,17.1611111,137.869,1.935,1.72,1650121743399000,488,3
8195,48.1483962,17.1611092,137.885,2.019,1.94,1650121743454000,488,3
8250,48.1483964,17.1611075,137.869,2.05,2.02,1650121743509000,488,3
8360,48.1483962,17.1611041,137.899,2.051,2,1650121743619000,488,3
8415,48.1483965,17.1611026,137.836,2.042,2.06,1650121743674000,488,3
8470,48.1483965,17.1611008,137.865,2.118,2.05,1650121743729000,488,3
8525,48.1483963,17.1610988,137.97,2.234,2.12,1650121743784000,488,3
8580,48.1483961,17.1610973,137.982,2.25,2.24,1650121743839000,488,3
8690,48.1483948,17.161094,138.163,2.306,2.31,1650121743949000,2379,3
8745,48.1483942,17.1610924,138.189,2.28,2.31,1650121744004000,2378,3
8800,48.1483942,17.1610907,138.213,2.29,2.28,1650121744059000,2378,3
8855,48.1483942,17.1610889,138.21,2.329,2.29,1650121744114000,2378,3
8910,48.1483935,17.1610869,138.229,2.427,2.33,1650121744169000,2378,3
9020,48.1483933,17.1610835,138.183,2.347,2.43,1650121744279000,2377,3
9075,48.1483932,17.1610814,138.211,2.375,2.35,1650121744334000,2377,3
9130,48.1483925,17.161079,138.285,2.567,2.38,1650121744389000,2377,3
9185,48.1483919,17.1610771,138.218,2.6,2.57,1650121744444000,2377,3
9295,48.1483923,17.1610731,138.065,2.603,2.51,1650121744554000,2376,3
9350,48.1483917,17.1610709,138.119,2.682,2.61,1650121744609000,2376,3
9405,48.1483907,17.1610687,138.162,2.799,2.69,1650121744664000,2376,3
9460,48.1483906,17.1610668,138.177,2.789,2.8,1650121744719000,2375,3
9570,48.1483908,17.1610647,138.186,2.846,2.79,1650121744829000,2375,3
9625,48.1483901,17.1610604,138.294,2.969,2.97,1650121744884000,2375,3
9680,48.1483891,17.1610583,138.315,3.041,2.97,1650121744939000,2374,3
9735,48.1483887,17.1610562,138.392,2.986,3.04,1650121744994000,2374,3
9790,48.1483885,17.161054,138.394,3.012,2.99,1650121745049000,2374,3
9845,48.1483878,17.1610499,138.354,3.08,3.1,1650121745104000,2374,3
9955,48.1483875,17.1610478,138.324,3.147,3.08,1650121745214000,2373,3
10010,48.1483872,17.1610454,138.385,3.176,3.15,1650121745269000,2373,3
10065,48.1483871,17.1610432,138.382,3.203,3.18,1650121745324000,2373,3
10175,48.1483867,17.161041,138.371,3.198,3.2,1650121745434000,2372,3
10230,48.1483856,17.1610363,138.337,3.328,3.28,1650121745489000,2372,3
10285,48.1483854,17.1610338,138.35,3.366,3.33,1650121745544000,2372,3
10340,48.1483852,17.1610313,138.344,3.384,3.37,1650121745599000,2372,3
10395,48.1483848,17.1610287,138.334,3.475,3.39,1650121745654000,2371,3
10450,48.1483841,17.1610264,138.312,3.435,3.48,1650121745709000,2371,3
