Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
14025,48.1487137,17.1310928,133.082,5.247,5.3,1650041806729000,166,3
14135,48.1487158,17.1311034,132.983,5.189,5.02,1650041806839000,166,3
14190,48.1487184,17.1311142,132.904,5.172,5.23,1650041806894000,166,3
14300,48.1487214,17.1311247,132.827,5.206,5.23,1650041807004000,166,3
14685,48.148724,17.1311348,132.701,5.057,5.08,1650041807389000,173,3
14795,48.1487265,17.1311455,132.601,5.132,5.15,1650041807499000,173,3
14850,48.1487295,17.131156,132.577,5.104,5.08,1650041807554000,166,3
14960,48.1487327,17.1311685,132.509,5.096,5.14,1650041807664000,166,3
15345,48.1487362,17.1311807,132.461,5.088,5.1,1650041808049000,166,3
15455,48.148739,17.1311911,132.419,5.05,5.12,1650041808159000,166,3
15565,48.1487417,17.1312015,132.358,5.05,5.04,1650041808269000,166,3
15620,48.148745,17.1312119,132.322,5.029,5.13,1650041808324000,166,3
16005,48.1487483,17.1312224,132.279,5.14,5.07,1650041808709000,166,3
16115,48.1487514,17.1312328,132.303,4.995,5.05,1650041808819000,166,3
16225,48.1487543,17.1312433,132.186,5.115,5.1,1650041808929000,166,3
16280,48.1487582,17.1312531,132.247,4.932,4.99,1650041808984000,166,3
16665,48.1487617,17.1312632,132.201,5.056,5.04,1650041809369000,166,3
16775,48.1487646,17.1312735,132.196,4.99,5.03,1650041809479000,166,3
16885,48.1487671,17.1312836,132.095,4.877,4.94,1650041809589000,166,3
16995,48.1487699,17.131294,132.031,4.965,4.93,1650041809699000,166,3
17380,48.1487727,17.1313043,132.021,4.877,4.94,1650041810084000,173,3
17490,48.1487754,17.1313145,131.954,4.89,4.87,1650041810194000,166,3
17600,48.1487781,17.1313248,131.919,4.892,4.85,1650041810304000,173,3
17710,48.1487808,17.1313347,131.887,4.759,4.81,1650041810414000,173,3
17985,48.1487839,17.1313465,131.855,4.817,4.85,1650041810689000,166,3
18095,48.148787,17.1313581,131.861,4.758,4.72,1650041810799000,169,3
18205,48.1487891,17.1313676,131.767,4.527,4.77,1650041810909000,166,3
18315,48.1487919,17.1313769,131.715,4.581,4.49,1650041811019000,166,3
18645,48.1487942,17.1313864,131.643,4.502,4.57,1650041811349000,169,3
18700,48.1487959,17.1313959,131.509,4.47,4.49,1650041811404000,169,3
18755,48.1487981,17.1314057,131.489,4.485,4.5,1650041811459000,166,3
18865,48.1488001,17.1314151,131.469,4.395,4.4,1650041811569000,169,3
19250,48.1488028,17.1314244,131.411,4.448,4.44,1650041811954000,213,3
19360,48.1488049,17.131434,131.352,4.484,4.46,1650041812064000,213,3
19415,48.1488068,17.1314431,131.28,4.258,4.31,1650041812119000,213,3
19525,48.1488089,17.1314521,131.138,4.263,4.28,1650041812229000,190,3
19855,48.1488105,17.1314609,130.994,4.175,4.21,1650041812559000,213,3
19965,48.1488125,17.1314698,130.864,4.265,4.28,1650041812669000,213,3
20020,48.1488146,17.1314787,130.835,4.236,4.24,1650041812724000,213,3
20130,48.1488166,17.1314875,130.727,4.252,4.24,1650041812834000,213,3
20625,48.1488187,17.1314961,130.659,4.108,4.2,1650041813329000,213,3
20680,48.14882,17.1315047,130.456,4.165,4.25,1650041813384000,213,3
20735,48.1488222,17.1315132,130.346,4.147,4.12,1650041813439000,213,3
20845,48.1488238,17.1315224,130.291,4.201,4.2,1650041813549000,213,3
21230,48.1488257,17.1315313,130.186,4.122,4.28,1650041813934000,213,3
21340,48.1488277,17.1315402,130.119,4.185,4.17,1650041814044000,213,3
21395,48.1488292,17.1315489,129.931,4.102,4.2,1650041814099000,213,3
21505,48.1488308,17.1315578,129.796,4.125,4.21,1650041814209000,213,3
21890,48.1488329,17.1315672,129.784,4.163,4.22,1650041814594000,178,3
22000,48.1488345,17.1315766,129.707,4.272,4.28,1650041814704000,178,3
22055,48.1488364,17.1315857,129.627,4.23,4.24,1650041814759000,178,3
22110,48.1488382,17.1315957,129.616,4.392,4.45,1650041814814000,178,3
22550,48.1488403,17.1316055,129.665,4.368,4.39,1650041815254000,178,3
22660,48.1488425,17.1316154,129.696,4.46,4.49,1650041815364000,178,3
22715,48.1488445,17.1316252,129.708,4.465,4.4,1650041815419000,178,3
22770,48.1488466,17.1316348,129.699,4.386,4.46,1650041815474000,178,3
23155,48.1488485,17.1316447,129.755,4.45,4.43,1650041815859000,178,3
23265,48.1488506,17.1316524,129.73,4.329,4.56,1650041815969000,178,3
23375,48.1488526,17.1316605,129.77,4.439,4.4,1650041816079000,178,3
23430,48.1488551,17.1316718,129.817,4.433,4.43,1650041816134000,178,3
23925,48.1488579,17.1316862,129.796,4.348,4.47,1650041816629000,178,3
24035,48.1488598,17.1316961,129.767,4.512,4.53,1650041816739000,178,3
24090,48.1488621,17.1317056,129.768,4.498,4.49,1650041816794000,178,3
24200,48.1488639,17.131715,129.772,4.391,4.43,1650041816904000,178,3
24530,48.1488663,17.1317246,129.808,4.486,4.48,1650041817234000,213,3
24640,48.1488683,17.1317341,129.837,4.449,4.45,1650041817344000,213,3
24695,48.1488703,17.1317437,129.853,4.485,4.47,1650041817399000,213,3
24805,48.1488719,17.131753,129.786,4.38,4.4,1650041817509000,213,3
25300,48.1488736,17.1317625,129.725,4.385,4.39,1650041818004000,189,3
25355,48.1488761,17.131772,129.708,4.472,4.47,1650041818059000,189,3
25410,48.1488785,17.1317817,129.69,4.563,4.52,1650041818114000,189,3
25520,48.1488803,17.1317916,129.675,4.483,4.56,1650041818224000,189,3
25905,48.1488822,17.1318014,129.653,4.505,4.5,1650041818609000,173,3
25960,48.1488844,17.1318109,129.642,4.403,4.43,1650041818664000,173,3
26070,48.1488865,17.1318205,129.584,4.455,4.42,1650041818774000,173,3
26125,48.1488887,17.1318298,129.591,4.396,4.4,1650041818829000,173,3
26565,48.1488907,17.1318395,129.563,4.436,4.43,1650041819269000,173,3
26675,48.1488929,17.131849,129.571,4.453,4.41,1650041819379000,173,3
26730,48.1488951,17.1318587,129.565,4.454,4.48,1650041819434000,173,3
26785,48.1488975,17.1318679,129.513,4.44,4.4,1650041819489000,173,3
27225,48.1488998,17.1318775,129.539,4.409,4.44,1650041819929000,189,3
27335,48.1489022,17.1318871,129.515,4.489,4.5,1650041820039000,189,3
27445,48.1489044,17.1318974,129.601,4.646,4.55,1650041820149000,189,3
27500,48.1489064,17.1319073,129.6,4.521,4.65,1650041820204000,189,3
27885,48.1489088,17.1319166,129.574,4.399,4.44,1650041820589000,189,3
27995,48.1489114,17.1319257,129.528,4.404,4.39,1650041820699000,189,3
28050,48.1489141,17.131935,129.513,4.372,4.41,1650041820754000,208,3
28105,48.1489167,17.1319438,129.449,4.222,4.28,1650041820809000,189,3
28655,48.148919,17.1319529,129.436,4.287,4.27,1650041821359000,189,3
28710,48.1489208,17.1319616,129.307,4.185,4.14,1650041821414000,189,3
28765,48.1489227,17.1319704,129.234,4.126,4.14,1650041821469000,189,3
28875,48.1489246,17.1319793,129.174,4.145,4.17,1650041821579000,189,3
29370,48.1489268,17.1319885,129.188,4.246,4.23,1650041822074000,189,3
29480,48.1489293,17.1319977,129.19,4.311,4.33,1650041822184000,189,3
29480,48.1489314,17.1320065,129.15,4.195,4.21,1650041822184000,189,3
29535,48.1489336,17.1320149,129.063,4.063,4.03,1650041822239000,189,3
30030,48.1489358,17.1320239,129.083,4.062,4.15,1650041822734000,189,3
30140,48.148938,17.1320334,129.094,4.39,4.33,1650041822844000,189,3
30195,48.1489398,17.1320431,129.174,4.333,4.34,1650041822899000,189,3
30250,48.1489417,17.1320524,129.152,4.252,4.26,1650041822954000,189,3
30690,48.1489435,17.1320619,129.173,4.294,4.25,1650041823394000,173,3
30800,48.1489457,17.1320729,129.233,4.262,4.29,1650041823504000,173,3
30855,48.1489475,17.1320843,129.271,4.316,4.27,1650041823559000,173,3
30910,48.1489496,17.1320935,129.286,4.224,4.23,1650041823614000,173,3
31460,48.1489515,17.132103,129.283,4.287,4.31,1650041824164000,178,3
31515,48.1489539,17.1321122,129.329,4.258,4.23,1650041824219000,178,3
31570,48.1489555,17.1321217,129.276,4.324,4.29,1650041824274000,178,3
31680,48.1489578,17.1321307,129.333,4.198,4.17,1650041824384000,213,3
32010,48.1489599,17.13214,129.333,4.274,4.3,1650041824714000,213,3
32120,48.1489623,17.132149,129.338,4.24,4.23,1650041824824000,213,3
32175,48.1489649,17.1321577,129.341,4.197,4.19,1650041824879000,213,3
32230,48.1489674,17.1321665,129.329,4.138,4.16,1650041824934000,213,3
32670,48.1489696,17.1321755,129.295,4.164,4.19,1650041825374000,213,3
32780,48.1489718,17.132185,129.367,4.273,4.23,1650041825484000,213,3
32835,48.1489737,17.1321942,129.375,4.221,4.18,1650041825539000,213,3
32890,48.1489757,17.1322038,129.394,4.325,4.35,1650041825594000,213,3
33385,48.1489784,17.1322147,129.385,4.328,4.33,1650041826089000,213,3
33440,48.1489816,17.1322269,129.379,4.306,4.32,1650041826144000,213,3
33550,48.1489843,17.1322395,129.395,4.356,4.31,1650041826254000,213,3
33605,48.1489873,17.1322505,129.398,4.518,4.46,1650041826309000,213,3
34045,48.1489897,17.1322601,129.463,4.45,4.52,1650041826749000,213,3
34155,48.1489922,17.1322694,129.497,4.423,4.43,1650041826859000,213,3
34210,48.1489949,17.1322788,129.477,4.522,4.49,1650041826914000,213,3
34265,48.1489975,17.1322882,129.538,4.483,4.5,1650041826969000,213,3
34705,48.1490003,17.1322976,129.564,4.549,4.52,1650041827409000,213,3
34815,48.149003,17.1323072,129.592,4.576,4.58,1650041827519000,213,3
34925,48.149005,17.1323166,129.549,4.429,4.43,1650041827629000,213,3
34980,48.1490079,17.132326,129.544,4.496,4.54,1650041827684000,213,3
35420,48.1490101,17.1323352,129.52,4.417,4.44,1650041828124000,213,3
35475,48.1490126,17.1323444,129.493,4.406,4.44,1650041828179000,213,3
35585,48.1490149,17.1323535,129.499,4.417,4.38,1650041828289000,213,3
35640,48.149017,17.1323625,129.516,4.32,4.35,1650041828344000,213,3
36080,48.1490192,17.1323717,129.488,4.365,4.33,1650041828784000,213,3
36135,48.1490218,17.1323808,129.46,4.333,4.35,1650041828839000,213,3
36190,48.1490241,17.1323902,129.446,4.404,4.44,1650041828894000,213,3
36245,48.1490263,17.1323995,129.4,4.401,4.44,1650041828949000,213,3
36685,48.149029,17.1324088,129.423,4.397,4.41,1650041829389000,213,3
36795,48.1490318,17.1324181,129.422,4.445,4.45,1650041829499000,213,3
36850,48.1490344,17.1324273,129.446,4.374,4.42,1650041829554000,213,3
36960,48.1490372,17.1324367,129.494,4.491,4.4,1650041829664000,213,3
37345,48.1490395,17.1324462,129.506,4.425,4.43,1650041830049000,213,3
37455,48.1490422,17.1324556,129.539,4.409,4.48,1650041830159000,213,3
37510,48.1490445,17.1324652,129.548,4.458,4.43,1650041830214000,213,3
37620,48.1490469,17.1324746,129.575,4.457,4.39,1650041830324000,213,3
38060,48.1490494,17.132484,129.572,4.403,4.48,1650041830764000,213,3
38115,48.1490522,17.132495,129.641,4.426,4.43,1650041830819000,213,3
38225,48.1490549,17.132506,129.65,4.431,4.39,1650041830929000,213,3
38280,48.1490571,17.1325154,129.646,4.397,4.43,1650041830984000,213,3
38720,48.1490593,17.132525,129.689,4.433,4.44,1650041831424000,213,3
38830,48.1490617,17.1325345,129.734,4.434,4.43,1650041831534000,213,3
38885,48.149064,17.132544,129.785,4.453,4.49,1650041831589000,213,3
38940,48.1490663,17.1325534,129.777,4.494,4.48,1650041831644000,213,3
39380,48.1490683,17.1325625,129.752,4.331,4.33,1650041832084000,213,3
