Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
392645,48.0710529,17.1650662,85.754,3.8,4.2,1650295042274000,159,3
392755,48.0710513,17.1650652,85.45,3.769,4.34,1650295042384000,234,3
392810,48.0710481,17.1650613,85.346,3.648,4.35,1650295042439000,526,3
392920,48.0710465,17.1650592,85.456,3.59,4.22,1650295042549000,526,3
392975,48.0710433,17.1650562,85.485,3.436,4.03,1650295042604000,526,3
393030,48.0710416,17.1650546,85.515,3.398,3.99,1650295042659000,526,3
393140,48.0710389,17.165051,85.042,3.426,3.98,1650295042769000,659,3
393195,48.0710371,17.1650489,84.99,3.547,4.01,1650295042824000,659,3
393305,48.0710335,17.1650457,84.884,3.573,4.23,1650295042934000,659,3
393360,48.071032,17.1650449,84.778,3.423,4.13,1650295042989000,659,3
393470,48.0710292,17.1650427,84.49,3.237,3.88,1650295043099000,135,3
393525,48.0710272,17.1650416,84.521,3.273,3.86,1650295043154000,157,3
393635,48.0710246,17.1650384,84.332,3.132,3.83,1650295043264000,135,3
393690,48.0710233,17.1650367,84.236,3.105,3.77,1650295043319000,135,3
393800,48.071022,17.1650354,84.123,3.089,3.74,1650295043429000,135,3
393855,48.0710186,17.1650337,83.82,3.098,3.89,1650295043484000,265,3
393965,48.0710177,17.1650323,83.709,2.954,3.75,1650295043594000,265,3
394020,48.0710144,17.1650301,83.709,2.94,3.7,1650295043649000,265,3
394075,48.0710145,17.1650286,83.791,2.515,3.6,1650295043704000,265,3
394185,48.0710125,17.1650262,83.801,2.41,3.02,1650295043814000,265,3
394240,48.0710108,17.1650245,83.712,2.611,3.13,1650295043869000,265,3
394350,48.0710073,17.1650219,83.619,2.856,3.31,1650295043979000,265,3
394405,48.0710055,17.165021,83.559,2.942,3.48,1650295044034000,265,3
394460,48.0710024,17.1650198,83.424,2.906,3.61,1650295044089000,265,3
394570,48.071001,17.1650192,83.372,2.828,3.51,1650295044199000,265,3
394680,48.0710002,17.1650177,83.231,2.7,3.44,1650295044309000,265,3
394735,48.0709973,17.1650141,82.919,2.935,3.39,1650295044364000,265,3
394790,48.0709956,17.1650125,82.777,3.061,3.55,1650295044419000,265,3
394900,48.0709928,17.1650103,82.369,3.029,3.76,1650295044529000,233,3
394955,48.0709913,17.1650091,82.149,3.071,3.66,1650295044584000,265,3
395065,48.070989,17.165007,81.726,2.936,3.72,1650295044694000,658,3
395120,48.0709886,17.1650059,81.683,2.664,3.63,1650295044749000,526,3
395230,48.0709863,17.1650031,81.596,2.634,3.27,1650295044859000,526,3
395285,48.0709852,17.1650005,81.415,2.791,3.37,1650295044914000,526,3
395395,48.0709829,17.1649978,81.211,2.774,3.44,1650295045024000,526,3
395450,48.0709813,17.1649966,81.114,2.838,3.49,1650295045079000,526,3
395505,48.0709796,17.164995,80.889,2.581,3.36,1650295045134000,526,3
395615,48.0709786,17.1649939,80.853,2.508,3.34,1650295045244000,526,3
395670,48.0709771,17.1649926,80.777,2.586,3.28,1650295045299000,526,3
395780,48.0709746,17.1649898,80.379,2.666,3.4,1650295045409000,526,3
395835,48.0709733,17.1649881,80.245,2.732,3.42,1650295045464000,526,3
395945,48.07097,17.1649852,80.263,2.866,3.57,1650295045574000,526,3
396000,48.0709684,17.1649831,80.179,3.013,3.56,1650295045629000,526,3
396110,48.0709661,17.1649814,79.462,2.953,3.62,1650295045739000,526,3
396165,48.0709648,17.1649806,79.214,2.945,3.69,1650295045794000,526,3
396275,48.0709634,17.1649795,78.408,2.705,3.63,1650295045904000,526,3
396330,48.0709625,17.1649782,78.11,2.703,3.58,1650295045959000,526,3
396385,48.0709615,17.1649767,77.844,2.726,3.6,1650295046014000,526,3
396495,48.0709594,17.1649735,77.401,2.76,3.77,1650295046124000,526,3
396605,48.0709583,17.1649731,77.329,2.57,3.71,1650295046234000,526,3
396660,48.070955,17.1649696,77.566,2.756,3.6,1650295046289000,526,3
396715,48.0709531,17.1649678,77.587,2.966,3.63,1650295046344000,526,3
396825,48.0709495,17.164967,77.614,2.814,3.66,1650295046454000,526,3
396880,48.0709487,17.1649639,77.477,2.955,3.62,1650295046509000,526,3
396990,48.0709465,17.1649606,77.315,2.857,3.72,1650295046619000,526,3
397045,48.0709452,17.1649588,77.313,2.874,3.64,1650295046674000,526,3
397155,48.0709434,17.1649524,77.427,3.119,3.71,1650295046784000,526,3
397210,48.0709415,17.1649507,77.536,3.167,3.79,1650295046839000,526,3
397265,48.0709395,17.1649489,77.608,3.23,3.82,1650295046894000,526,3
397375,48.070935,17.1649435,77.593,3.776,4.49,1650295047004000,526,3
397430,48.070934,17.1649425,77.457,3.477,4.34,1650295047059000,526,3
397540,48.0709302,17.1649412,77.624,3.213,3.92,1650295047169000,526,3
397595,48.0709292,17.1649397,77.464,3.107,3.85,1650295047224000,526,3
397705,48.0709271,17.164937,77.123,2.994,3.7,1650295047334000,526,3
397760,48.0709258,17.1649361,76.957,2.962,3.69,1650295047389000,259,3
397870,48.0709227,17.1649334,76.675,3.103,3.71,1650295047499000,526,3
397925,48.0709212,17.1649321,76.552,3.129,3.79,1650295047554000,526,3
398035,48.0709194,17.1649291,76.513,3.373,3.81,1650295047664000,526,3
398090,48.0709169,17.1649261,76.218,3.202,4.12,1650295047719000,526,3
398200,48.0709155,17.1649236,76.142,3.312,3.87,1650295047829000,526,3
398255,48.070913,17.1649216,76.11,2.941,3.75,1650295047884000,266,3
398365,48.0709116,17.1649194,76.337,2.818,3.62,1650295047994000,269,3
398420,48.0709098,17.1649143,77.075,2.479,3.29,1650295048049000,266,3
398475,48.0709089,17.1649117,77.235,2.493,3.1,1650295048104000,266,3
398585,48.0709061,17.1649077,77.25,2.666,3.14,1650295048214000,266,3
398640,48.0709045,17.1649061,77.415,2.665,3.2,1650295048269000,266,3
398750,48.0709018,17.1649053,77.283,2.355,3.1,1650295048379000,266,3
398805,48.0709003,17.1649045,77.248,2.341,2.91,1650295048434000,266,3
398915,48.0708973,17.1648996,77.197,2.688,3.11,1650295048544000,266,3
398970,48.070896,17.1648981,77.448,2.504,3.17,1650295048599000,266,3
399025,48.070895,17.1648957,77.446,2.558,2.99,1650295048654000,266,3
399135,48.0708927,17.1648928,77.561,2.487,2.76,1650295048764000,266,3
399245,48.0708909,17.1648891,77.728,2.897,2.93,1650295048874000,266,3
399300,48.0708881,17.1648867,77.999,2.565,3.28,1650295048929000,266,3
399355,48.0708863,17.1648844,78.264,2.692,2.93,1650295048984000,266,3
399465,48.0708833,17.1648805,78.577,2.758,3.11,1650295049094000,266,3
399520,48.0708817,17.1648787,78.791,2.714,3.04,1650295049149000,266,3
399630,48.0708782,17.1648754,78.744,3.049,3.05,1650295049259000,266,3
399685,48.0708769,17.1648725,78.714,3.208,3.29,1650295049314000,266,3
399795,48.0708747,17.1648682,78.533,3.076,3.36,1650295049424000,266,3
399850,48.0708737,17.1648646,78.616,3.222,3.32,1650295049479000,266,3
399960,48.0708704,17.1648592,78.605,3.537,3.52,1650295049589000,266,3
400015,48.0708685,17.1648571,78.656,3.493,3.74,1650295049644000,266,3
400070,48.0708664,17.1648548,78.751,3.587,3.69,1650295049699000,266,3
400180,48.0708634,17.1648497,78.97,3.532,3.61,1650295049809000,266,3
400235,48.0708621,17.1648477,78.799,3.522,3.7,1650295049864000,190,3
400345,48.0708592,17.1648434,79.005,3.347,3.73,1650295049974000,266,3
400400,48.0708585,17.164841,78.869,3.341,3.52,1650295050029000,266,3
400510,48.0708554,17.1648375,79.08,3.217,3.47,1650295050139000,266,3
400565,48.0708539,17.1648357,79.09,3.182,3.38,1650295050194000,266,3
400675,48.0708512,17.1648301,79.083,3.45,3.62,1650295050304000,266,3
400730,48.07085,17.1648275,79.015,3.473,3.6,1650295050359000,266,3
400840,48.0708485,17.164825,79.178,3.436,3.62,1650295050469000,266,3
400895,48.070845,17.1648194,79.415,3.668,3.65,1650295050524000,266,3
400950,48.0708447,17.1648164,79.315,3.563,3.79,1650295050579000,266,3
401060,48.0708415,17.1648124,79.345,3.436,3.6,1650295050689000,266,3
401115,48.0708402,17.1648102,79.253,3.457,3.56,1650295050744000,266,3
401225,48.0708381,17.1648066,79.236,3.167,3.34,1650295050854000,266,3
401280,48.0708372,17.1648047,79.28,3.085,3.3,1650295050909000,266,3
401390,48.0708352,17.1648017,79.315,2.749,3.11,1650295051019000,266,3
401445,48.0708341,17.1647999,79.292,2.761,2.89,1650295051074000,266,3
401555,48.0708322,17.1647954,79.057,3.016,2.99,1650295051184000,266,3
401610,48.0708311,17.1647929,79.002,3.152,3.15,1650295051239000,266,3
401720,48.07083,17.1647905,78.842,3.297,3.28,1650295051349000,266,3
401775,48.0708277,17.1647856,78.771,3.368,3.57,1650295051404000,266,3
401830,48.0708262,17.1647831,78.797,3.491,3.49,1650295051459000,199,3
401940,48.070824,17.1647781,78.698,3.581,3.51,1650295051569000,190,3
402050,48.0708229,17.1647753,78.694,3.68,3.7,1650295051679000,190,3
402105,48.0708208,17.1647704,78.675,3.661,3.84,1650295051734000,190,3
