Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1428614,17.1119576,144.683,4.492
385,48.1428716,17.1119794,144.627,4.304
825,48.1428814,17.1119975,144.456,4.45
1210,48.1428909,17.1120166,144.284,4.42
1595,48.1429023,17.1120376,144.261,4.355
1980,48.1429134,17.1120537,143.99,4.375
2420,48.1429248,17.1120687,143.744,4.356
2805,48.1429345,17.112086,143.556,4.442
3190,48.1429472,17.1121042,143.2,4.526
3630,48.1429583,17.1121203,143.033,4.417
4015,48.1429687,17.1121371,143.026,4.521
4400,48.1429782,17.1121545,142.98,4.538
4785,48.1429887,17.1121747,142.914,4.397
5225,48.1429993,17.1121918,142.874,4.516
5610,48.1430088,17.1122085,142.838,4.328
5995,48.1430219,17.1122224,142.754,4.587
6380,48.1430323,17.1122432,142.555,4.569
6820,48.1430444,17.1122581,142.308,4.644
7205,48.1430561,17.1122737,142.068,4.85
7590,48.1430701,17.1122908,141.79,4.878
8030,48.1430799,17.1123079,141.53,4.389
8415,48.1430882,17.1123271,141.448,4.453
8800,48.1430983,17.112345,141.339,4.625
9240,48.1431122,17.1123635,141.11,4.957
9625,48.1431262,17.1123782,140.809,5.173
10010,48.1431388,17.1123941,140.708,5.112
10395,48.1431526,17.1124096,140.506,5.298
10835,48.1431678,17.1124272,140.206,5.292
11220,48.143182,17.112443,139.926,5.286
11605,48.1431956,17.1124601,139.409,5.125
11990,48.1432083,17.1124812,139.055,5.028
12430,48.1432189,17.1124994,139.036,4.831
12815,48.1432282,17.1125198,138.554,4.732
13200,48.1432387,17.1125388,138.347,4.896
13640,48.1432499,17.1125604,138.34,4.916
14025,48.1432576,17.1125815,138.02,4.706
14410,48.1432697,17.1125986,138.062,4.875
14795,48.1432834,17.1126155,138.172,5.145
15180,48.1432968,17.1126361,138.119,5.031
15620,48.1433137,17.1126504,138.136,5.251
16005,48.1433275,17.1126666,138.256,5.044
16390,48.1433392,17.1126875,138.501,4.849
16775,48.1433476,17.1127067,138.818,4.615
17215,48.1433628,17.1127219,138.709,5.053
17600,48.1433744,17.1127383,138.855,4.947
17985,48.143381,17.1127613,139.043,4.36
18425,48.1433885,17.1127802,139.115,4.371
18810,48.1433941,17.1127997,139.255,4.142
19195,48.1434045,17.1128148,139.329,4.173
19580,48.1434135,17.1128333,139.458,4.096
20020,48.1434191,17.1128505,139.688,3.943
20405,48.1434235,17.1128685,139.905,3.761
20790,48.1434313,17.1128844,140.263,3.815
21230,48.1434391,17.1129005,140.225,3.786
21615,48.1434432,17.1129202,140.03,3.642
22000,48.1434473,17.1129392,139.825,3.446
22385,48.1434466,17.1129607,140.115,3.21
22825,48.1434504,17.1129786,140.135,3.377
23210,48.1434584,17.1129965,139.963,3.877
23595,48.1434673,17.1130127,139.622,3.845
24035,48.1434775,17.1130327,139.348,4.17
24420,48.1434857,17.1130451,139.649,3.966
24805,48.1434934,17.1130552,140.002,4.034
25190,48.1435038,17.1130677,139.825,3.968
25630,48.1435161,17.113076,139.534,4.025
26015,48.1435231,17.1130847,139.91,4.122
26400,48.1435307,17.113093,140.337,4.209
26840,48.1435425,17.1130984,140.903,4.324
27225,48.1435549,17.1131013,141.305,4.279
27610,48.1435691,17.1131035,141.612,4.442
27995,48.1435826,17.1131045,141.998,4.411
28435,48.1435978,17.1131055,142.505,4.307
28820,48.1436111,17.1131046,142.716,4.257
29205,48.1436251,17.1131025,142.65,4.209
29590,48.1436409,17.1130985,142.71,4.346
30030,48.1436543,17.1130969,142.972,4.399
30415,48.1436676,17.1130954,143.013,4.575
30800,48.1436812,17.113092,143.15,4.463
31185,48.1436963,17.1130892,143.17,4.311
31625,48.1437094,17.1130867,143.165,4.336
32010,48.1437232,17.1130842,143.142,4.38
32395,48.1437386,17.1130822,142.867,4.107
32780,48.1437525,17.11308,142.652,4.279
33220,48.1437658,17.1130765,142.663,4.202
33605,48.1437788,17.1130739,142.544,4.082
33990,48.1437934,17.1130709,142.473,3.838
34430,48.1438073,17.1130667,142.554,4.059
34815,48.1438207,17.113061,142.801,4.116
35200,48.1438339,17.1130574,142.642,4.045
35585,48.1438498,17.1130536,142.271,4.255
36025,48.1438632,17.1130481,142.305,4.057
36410,48.1438774,17.1130427,142.441,4.32
36795,48.1438933,17.1130368,142.681,4.177
37180,48.1439068,17.1130324,142.795,4.199
37620,48.1439225,17.1130286,142.711,4.354
38005,48.1439359,17.1130252,142.689,4.292
38390,48.14395,17.1130216,142.62,4.36
38830,48.1439645,17.1130171,142.832,4.358
39215,48.1439786,17.1130119,143.056,4.223
39600,48.1439924,17.113006,143.088,4.075
39985,48.144006,17.1130011,143.154,4.221
40425,48.1440207,17.1129981,142.997,3.806
40810,48.1440358,17.1129964,143.702,4.44
41195,48.1440524,17.1129954,144.455,4.28
41580,48.1440666,17.1129939,144.327,4.125
42020,48.1440807,17.112991,144.361,4.157
42405,48.1440945,17.1129887,144.213,4.043
42790,48.144111,17.1129872,144.239,4.174
43230,48.1441247,17.1129851,144.402,4.135
43615,48.1441392,17.1129849,144.473,4.224
44000,48.1441537,17.112986,144.583,4.368
44385,48.1441699,17.1129894,144.382,4.058
44825,48.1441848,17.1129905,144.315,4.211
45210,48.1441989,17.1129924,144.253,4.134
45595,48.1442128,17.1129925,144.347,4.059
46035,48.1442287,17.1129912,144.397,4.123
46420,48.1442425,17.1129911,144.384,4.116
46805,48.1442563,17.1129893,144.381,3.986
47190,48.144272,17.1129856,144.305,4.078
47630,48.1442853,17.1129845,144.177,3.94
48015,48.1442988,17.112985,144.006,3.92
48400,48.1443123,17.1129855,143.936,4.012
48840,48.1443267,17.1129864,143.832,3.761
49225,48.1443395,17.1129863,143.927,3.805
49610,48.1443519,17.1129864,143.935,3.646
49995,48.1443646,17.1129859,143.814,3.629
50380,48.1443787,17.1129854,143.788,3.679
50820,48.1443911,17.112986,143.791,3.586
51205,48.1444034,17.1129876,143.625,3.633
51590,48.1444174,17.1129909,143.667,3.654
52030,48.1444299,17.1129969,143.511,3.895
52415,48.1444418,17.1130033,143.41,3.894
52800,48.1444558,17.1130105,143.3,3.799
53185,48.1444685,17.1130173,143.193,3.913
53625,48.1444816,17.1130244,143.091,3.981
54010,48.1444965,17.1130314,143.107,3.964
54395,48.1445097,17.1130375,143.183,3.904
54780,48.1445231,17.1130444,143.232,3.91
55220,48.1445369,17.1130512,143.274,4.229
55605,48.1445505,17.1130588,143.256,4.3
55990,48.1445642,17.1130667,143.262,4.277
56375,48.14458,17.1130754,143.195,4.196
56815,48.1445939,17.1130826,143.168,4.192
57200,48.1446075,17.1130908,143.158,4.243
57585,48.1446236,17.1131007,143.071,4.256
58025,48.1446379,17.1131095,143.014,4.412
58410,48.1446515,17.113119,142.957,4.389
58795,48.1446666,17.1131304,142.94,4.305
59180,48.1446804,17.1131402,142.87,4.443
59620,48.1446942,17.1131505,142.851,4.57
60005,48.1447079,17.1131612,142.8,4.358
60390,48.1447243,17.1131733,142.821,4.705
60830,48.1447378,17.1131844,142.819,4.385
61215,48.1447515,17.1131971,142.904,4.686
61600,48.1447643,17.1132087,142.961,4.425
61985,48.1447784,17.1132229,143.039,4.162
62425,48.1447902,17.1132357,143.22,4.254
62810,48.1448014,17.1132493,143.237,4.108
63195,48.1448111,17.1132652,143.211,4.153
63635,48.1448209,17.113284,143.202,4.088
64020,48.144829,17.1133019,143.211,4.065
64405,48.1448359,17.1133201,143.181,3.977
64790,48.1448434,17.113342,143.18,4.138
65230,48.1448505,17.1133614,143.174,4.187
65615,48.1448574,17.1133816,143.107,4.31
66000,48.1448638,17.1134021,143.05,4.164
66385,48.1448715,17.1134255,143.057,4.444
66825,48.1448775,17.1134459,143.033,4.159
67210,48.1448827,17.1134672,142.989,4.375
67595,48.1448866,17.113489,143.001,4.439
67980,48.1448889,17.1135145,143.004,4.274
68420,48.1448884,17.1135372,143.025,4.187
68805,48.1448862,17.1135597,143.031,4.146
69245,48.1448817,17.1135848,143.088,4.307
69575,48.1448768,17.1136066,143.085,4.359
70015,48.1448713,17.1136281,143.02,4.382
70400,48.1448657,17.1136501,142.919,4.418
70785,48.1448609,17.1136761,142.78,4.559
71225,48.1448582,17.1136989,142.766,4.369
71610,48.1448567,17.1137224,142.736,4.378
71995,48.1448561,17.1137458,142.643,4.375
72380,48.1448569,17.1137729,142.574,4.536
72820,48.1448583,17.1137959,142.451,4.503
73205,48.1448615,17.1138184,142.452,4.487
73590,48.1448657,17.1138403,142.335,4.343
74030,48.1448712,17.1138648,142.231,4.391
74415,48.1448767,17.1138858,142.114,4.497
74800,48.1448833,17.113906,141.987,4.344
75185,48.1448908,17.1139297,141.829,4.555
75625,48.1448975,17.11395,141.677,4.418
76010,48.1449052,17.1139706,141.709,4.558
76395,48.1449127,17.1139911,141.721,4.575
76835,48.1449217,17.1140145,141.458,4.557
77220,48.1449299,17.114035,141.286,4.52
77605,48.1449374,17.1140561,140.883,4.425
77990,48.1449456,17.11408,140.147,4.477
78430,48.1449537,17.1140984,140.071,4.307
78815,48.1449633,17.1141153,139.973,4.385
79200,48.144972,17.1141331,139.891,4.341
79640,48.1449813,17.1141542,140.116,4.547
80025,48.1449891,17.1141671,141.254,4.1
80410,48.1449981,17.1141847,141.309,4.299
80795,48.1450091,17.1142002,141.151,4.3
81235,48.1450219,17.1142157,141.349,4.258
81620,48.1450355,17.1142279,141.22,4.375
82005,48.1450467,17.1142437,141.068,4.383
82390,48.145061,17.1142589,141.163,4.3
82830,48.1450714,17.1142724,141.192,4.039
83215,48.1450805,17.1142865,141.348,3.922
83600,48.1450905,17.1143016,141.455,4.045
84040,48.1451004,17.1143198,141.71,4.143
84425,48.1451098,17.114336,141.822,4.305
84810,48.1451202,17.1143507,141.872,4.147
85195,48.1451319,17.1143673,142.021,4.083
85635,48.1451436,17.1143806,141.966,4.174
86020,48.1451549,17.1143958,141.981,4.274
86405,48.1451666,17.1144077,141.983,4.145
86790,48.1451803,17.1144222,141.706,4.027
87230,48.1451903,17.1144388,141.438,4.159
87615,48.1451978,17.1144629,141.166,4.614
88000,48.1452101,17.11448,141.115,4.205
88385,48.1452259,17.1144869,141.315,4.332
88825,48.1452406,17.1144949,141.442,4.269
89210,48.1452518,17.1145085,141.305,4.089
89595,48.1452634,17.114524,140.897,3.98
90035,48.1452767,17.1145335,140.742,4.198
90420,48.1452882,17.114548,140.617,4.276
90805,48.1453014,17.1145586,140.681,4.386
91190,48.1453144,17.1145742,140.682,4.342
91630,48.1453263,17.1145887,140.729,4.245
92015,48.1453378,17.114604,140.574,4.467
92400,48.1453478,17.1146224,140.356,4.533
92840,48.1453609,17.1146411,140.244,4.512
93225,48.1453704,17.1146588,140.24,4.313
93610,48.1453822,17.114673,140.295,4.466
93995,48.1453957,17.1146905,140.334,4.505
94435,48.1454081,17.1147039,140.357,4.522
94820,48.1454199,17.1147191,140.392,4.561
95205,48.1454321,17.1147321,140.436,4.395
95590,48.1454462,17.1147497,140.461,4.623
96030,48.1454602,17.114762,140.663,4.556
96415,48.1454754,17.1147726,140.89,4.647
96800,48.145488,17.114786,140.925,4.508
97240,48.1455026,17.1148016,140.947,4.564
97625,48.1455171,17.1148135,141.119,4.768
98010,48.1455289,17.1148287,141.193,4.469
98395,48.145545,17.1148433,141.315,4.631
98835,48.1455573,17.1148582,141.388,4.606
99220,48.1455686,17.1148747,141.29,4.639
99605,48.1455814,17.1148891,141.275,4.603
99990,48.1455952,17.1149056,141.285,4.428
100430,48.145606,17.1149214,141.362,4.319
100815,48.1456152,17.1149397,141.472,4.382
101200,48.145624,17.1149585,141.501,4.401
101585,48.1456343,17.1149798,141.594,4.396
102025,48.1456437,17.1149983,141.588,4.444
102410,48.1456525,17.115017,141.579,4.378
102795,48.145663,17.115039,141.612,4.622
103180,48.1456716,17.1150583,141.58,4.584
103620,48.1456822,17.1150758,141.618,4.438
104005,48.1456934,17.1150928,141.632,4.411
104390,48.1457018,17.1151165,141.774,4.438
104830,48.1457098,17.1151365,141.759,4.431
105215,48.1457178,17.1151544,141.999,4.196
105600,48.1457242,17.1151739,142.201,4.184
105985,48.145732,17.1151959,142.175,4.303
106425,48.1457395,17.1152142,142.231,4.266
106810,48.1457482,17.1152311,142.156,4.225
107195,48.1457594,17.1152503,142.291,4.407
107580,48.1457677,17.1152684,142.267,4.3
108020,48.1457761,17.1152876,142.217,4.386
108405,48.1457844,17.1153071,142.213,4.448
108790,48.1457938,17.115328,142.33,4.203
