Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
9460,48.0812478,17.1736952,132.194,2.273,2.36,1650649587014000,168,3
9515,48.0812482,17.1736944,132.277,2.123,2.27,1650649587069000,168,3
9625,48.0812504,17.1736931,132.312,2.164,2.23,1650649587179000,168,3
9680,48.0812509,17.1736924,132.341,2.032,2.16,1650649587234000,168,3
9790,48.0812514,17.1736904,132.427,1.8,1.87,1650649587344000,168,3
9845,48.0812521,17.1736898,132.421,1.739,1.8,1650649587399000,168,3
9955,48.0812529,17.1736894,132.46,1.712,1.74,1650649587509000,168,3
10010,48.0812549,17.1736889,132.579,1.757,1.86,1650649587564000,168,3
10065,48.0812556,17.1736888,132.58,1.686,1.76,1650649587619000,168,3
10175,48.0812574,17.1736884,132.628,1.692,1.63,1650649587729000,168,3
10230,48.0812586,17.1736875,132.687,1.883,1.7,1650649587784000,168,3
10340,48.0812608,17.1736866,132.711,1.974,1.97,1650649587894000,168,3
10395,48.0812616,17.1736864,132.715,1.907,1.98,1650649587949000,168,3
10505,48.0812622,17.1736856,132.757,1.598,1.79,1650649588059000,168,3
10560,48.0812624,17.1736851,132.778,1.457,1.6,1650649588114000,168,3
10670,48.0812627,17.1736832,132.809,1.371,1.32,1650649588224000,168,3
10725,48.0812641,17.1736823,132.758,1.588,1.38,1650649588279000,168,3
10835,48.0812648,17.1736818,132.699,1.548,1.59,1650649588389000,168,3
10890,48.0812671,17.17368,132.733,1.836,1.69,1650649588444000,168,3
10945,48.0812679,17.1736789,132.725,1.874,1.84,1650649588499000,168,3
11055,48.0812688,17.1736785,132.728,1.533,1.83,1650649588609000,168,3
11110,48.0812693,17.1736787,132.711,1.388,1.54,1650649588664000,168,3
11220,48.0812707,17.1736777,132.772,1.462,1.36,1650649588774000,168,3
11275,48.0812717,17.1736772,132.805,1.538,1.46,1650649588829000,168,3
11385,48.0812741,17.1736757,132.916,1.845,1.72,1650649588939000,168,3
11440,48.0812754,17.1736751,132.947,1.955,1.85,1650649588994000,168,3
11550,48.0812776,17.1736738,133.094,2.061,2.11,1650649589104000,168,3
11605,48.0812784,17.1736736,133.151,1.987,2.07,1650649589159000,168,3
11715,48.0812797,17.1736735,133.146,2.015,1.99,1650649589269000,168,3
11770,48.0812808,17.1736713,133.179,1.976,1.94,1650649589324000,168,3
11825,48.0812815,17.1736703,133.298,1.996,1.98,1650649589379000,168,3
11935,48.081283,17.173668,133.515,2.107,2.17,1650649589489000,168,3
11990,48.0812834,17.1736671,133.608,2.008,2.12,1650649589544000,168,3
12100,48.0812841,17.1736651,133.773,1.894,1.99,1650649589654000,168,3
12155,48.0812857,17.1736648,133.757,1.928,1.92,1650649589709000,168,3
12265,48.0812886,17.173664,133.875,2.115,1.93,1650649589819000,168,3
12320,48.0812899,17.1736634,133.865,2.181,2.14,1650649589874000,168,3
12430,48.0812925,17.1736617,133.942,2.329,2.35,1650649589984000,168,3
12485,48.0812935,17.1736617,133.947,2.208,2.35,1650649590039000,168,3
12540,48.0812954,17.1736609,134.005,2.436,2.23,1650649590094000,168,3
12650,48.0812969,17.1736595,134.09,2.256,2.36,1650649590204000,168,3
12760,48.0812975,17.1736588,134.104,2.115,2.28,1650649590314000,168,3
12815,48.0812982,17.1736574,134.108,1.808,1.96,1650649590369000,168,3
12870,48.081299,17.1736568,134.089,1.799,1.84,1650649590424000,168,3
12980,48.0813015,17.1736551,134.19,2.079,1.92,1650649590534000,168,3
13035,48.0813025,17.1736541,134.141,2.135,2.1,1650649590589000,168,3
13145,48.0813051,17.1736526,134.166,2.301,2.23,1650649590699000,168,3
13200,48.081306,17.1736521,134.19,2.211,2.32,1650649590754000,168,3
13310,48.0813085,17.1736501,134.252,2.437,2.32,1650649590864000,168,3
13365,48.0813094,17.1736493,134.259,2.362,2.46,1650649590919000,168,3
13420,48.08131,17.1736491,134.263,2.117,2.38,1650649590974000,168,3
13530,48.0813117,17.1736491,134.183,1.878,1.97,1650649591084000,168,3
13585,48.0813131,17.1736486,134.233,2.02,1.9,1650649591139000,168,3
13695,48.0813147,17.1736465,134.324,2.106,2.1,1650649591249000,168,3
13750,48.0813163,17.1736459,134.317,2.248,2.12,1650649591304000,168,3
13860,48.0813179,17.1736445,134.81,2.24,2.27,1650649591414000,168,3
13915,48.081319,17.1736435,134.92,2.32,2.27,1650649591469000,168,3
14025,48.0813209,17.1736423,135.021,2.201,2.21,1650649591579000,168,3
14080,48.0813222,17.1736423,135.102,2.207,2.24,1650649591634000,168,3
14190,48.0813244,17.1736412,135.222,2.209,2.27,1650649591744000,168,3
14245,48.0813255,17.1736408,135.271,2.202,2.25,1650649591799000,168,3
14300,48.0813268,17.1736398,135.288,2.358,2.25,1650649591854000,168,3
14410,48.0813296,17.1736389,135.416,2.51,2.5,1650649591964000,168,3
14465,48.0813309,17.1736393,135.434,2.363,2.55,1650649592019000,168,3
14575,48.0813328,17.1736402,135.462,2.04,2.23,1650649592129000,168,3
14630,48.0813335,17.1736404,135.274,1.879,2.09,1650649592184000,168,3
14740,48.0813351,17.1736418,135.279,1.768,1.94,1650649592294000,168,3
14795,48.0813356,17.173641,135.333,1.629,1.81,1650649592349000,168,3
14905,48.0813373,17.1736394,135.392,1.73,1.7,1650649592459000,168,3
14960,48.0813381,17.1736386,135.454,1.796,1.77,1650649592514000,168,3
15070,48.0813402,17.1736373,135.443,1.932,1.86,1650649592624000,168,3
15125,48.081341,17.1736361,135.556,2.049,1.97,1650649592679000,168,3
15235,48.0813419,17.1736351,135.623,2.084,2.09,1650649592789000,168,3
15290,48.0813432,17.1736346,135.883,1.827,2.1,1650649592844000,168,3
15345,48.0813435,17.1736339,135.957,1.675,1.89,1650649592899000,168,3
15455,48.0813463,17.1736329,135.977,2.043,1.87,1650649593009000,168,3
15510,48.0813475,17.1736324,135.914,2.066,2.1,1650649593064000,168,3
15620,48.0813496,17.1736307,135.907,2.204,2.16,1650649593174000,168,3
15675,48.0813505,17.1736296,135.936,2.19,2.24,1650649593229000,168,3
15785,48.0813532,17.1736284,135.856,2.34,2.3,1650649593339000,168,3
15840,48.0813538,17.1736272,135.717,2.171,2.37,1650649593394000,168,3
15950,48.0813554,17.1736269,135.523,2.229,2.2,1650649593504000,168,3
16005,48.0813585,17.173625,135.502,2.593,2.49,1650649593559000,168,3
16115,48.0813601,17.1736243,135.492,2.731,2.61,1650649593669000,168,3
16170,48.081363,17.1736223,135.429,2.857,2.79,1650649593724000,168,3
16225,48.0813644,17.1736213,135.397,2.869,2.87,1650649593779000,168,3
16335,48.0813677,17.1736204,135.469,2.991,3.02,1650649593889000,168,3
16390,48.0813687,17.1736198,135.437,2.776,3,1650649593944000,168,3
16500,48.0813716,17.1736179,135.507,2.903,2.84,1650649594054000,168,3
16555,48.0813731,17.173617,135.39,2.916,2.91,1650649594109000,168,3
16665,48.0813761,17.1736154,135.463,2.964,3.03,1650649594219000,168,3
16720,48.0813777,17.1736147,135.425,3.013,2.97,1650649594274000,168,3
16830,48.0813788,17.1736132,135.476,2.98,3.02,1650649594384000,168,3
16885,48.0813809,17.173611,135.449,2.76,2.8,1650649594439000,168,3
16995,48.0813821,17.1736097,135.397,2.766,2.77,1650649594549000,168,3
17050,48.0813836,17.1736084,135.254,2.256,2.73,1650649594604000,168,3
17105,48.0813845,17.1736075,135.207,2.227,2.26,1650649594659000,168,3
17215,48.0813869,17.1736053,135.087,2.386,2.23,1650649594769000,168,3
17270,48.0813886,17.1736041,134.953,2.606,2.39,1650649594824000,168,3
17380,48.0813911,17.1736011,134.961,2.799,2.76,1650649594934000,168,3
17435,48.0813922,17.1736003,134.838,2.667,2.8,1650649594989000,168,3
17545,48.0813944,17.1735983,134.688,2.589,2.54,1650649595099000,168,3
17600,48.0813974,17.1735982,134.59,2.981,2.59,1650649595154000,168,3
17710,48.0813987,17.1735967,134.862,2.58,2.82,1650649595264000,168,3
17765,48.081399,17.173596,134.937,2.339,2.58,1650649595319000,168,3
17820,48.0814005,17.1735945,134.969,2.129,2.27,1650649595374000,168,3
17930,48.0814012,17.1735941,135.079,2.019,2.13,1650649595484000,168,3
18040,48.0814024,17.1735926,135.131,2.199,2.02,1650649595594000,168,3
