Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1430484,17.1956057,136.247,4.747
385,48.143059,17.1956256,136.309,4.835
825,48.1430702,17.1956448,136.323,5.052
1210,48.1430811,17.195664,136.347,4.907
1595,48.1430919,17.1956838,136.412,4.945
2035,48.1431037,17.1957033,136.372,4.907
2420,48.1431161,17.1957263,136.378,4.993
2805,48.143127,17.1957464,136.384,4.98
3190,48.1431387,17.1957699,136.432,4.973
3630,48.1431493,17.19579,136.307,4.904
4015,48.1431605,17.1958098,136.253,5.014
4400,48.1431723,17.1958274,136.04,4.955
4840,48.143185,17.1958497,135.959,5.063
5225,48.1431963,17.1958687,135.87,4.921
5610,48.143207,17.1958889,135.823,5.125
5995,48.1432179,17.195909,135.657,5.112
6435,48.143231,17.195932,135.558,5.148
6820,48.1432421,17.1959529,135.642,5.165
7205,48.1432537,17.1959718,135.645,4.998
7590,48.1432672,17.1959935,135.523,5.07
8030,48.1432784,17.1960147,135.414,5.112
8415,48.1432904,17.1960348,135.266,5.288
8800,48.1433033,17.1960589,135.259,5.246
9185,48.1433143,17.1960795,135.288,5.07
9625,48.1433256,17.1960994,135.477,5.007
10010,48.1433373,17.1961239,135.607,4.935
10395,48.1433483,17.1961439,135.651,5.082
10835,48.1433604,17.196167,135.678,4.925
11220,48.1433707,17.1961871,135.738,4.905
11605,48.1433813,17.1962063,135.742,4.766
11990,48.1433915,17.1962272,135.7,5.14
12430,48.1433997,17.1962449,135.734,5.007
12815,48.1434106,17.1962636,135.679,4.761
13200,48.1434221,17.1962869,135.733,4.886
13640,48.1434316,17.196307,135.791,4.754
14025,48.1434411,17.1963277,135.927,4.702
14410,48.1434522,17.19635,136.014,4.799
14795,48.1434642,17.1963717,135.925,4.758
15236,48.1434747,17.1963903,135.909,4.696
15620,48.1434864,17.1964123,135.987,4.701
16005,48.1434976,17.1964301,136.018,4.608
16390,48.1435081,17.1964483,136.075,4.679
16830,48.1435203,17.1964702,135.982,4.784
17215,48.1435306,17.1964896,136.024,4.962
17600,48.1435396,17.1965058,136.124,4.847
17985,48.1435503,17.1965251,136.202,4.902
18425,48.1435624,17.1965476,136.185,4.793
18810,48.1435719,17.1965686,136.195,4.858
19195,48.1435819,17.1965919,136.248,4.658
19635,48.1435905,17.1966126,136.235,4.608
20020,48.1435992,17.196633,136.23,4.599
20405,48.1436082,17.1966524,136.33,4.646
20790,48.1436189,17.1966733,136.347,4.572
21230,48.1436276,17.1966916,136.289,4.19
21615,48.1436381,17.1967111,136.173,4.261
22000,48.143647,17.1967283,136.138,4.269
22385,48.1436563,17.196749,136.074,3.991
22825,48.143664,17.1967649,136.094,4.522
23210,48.1436724,17.1967823,136.093,4.105
23595,48.1436812,17.1968003,136.055,4.234
24035,48.1436901,17.1968175,135.998,4.257
24420,48.1436996,17.1968346,135.952,4.337
24805,48.1437088,17.1968523,136.039,4.38
25245,48.1437193,17.1968754,136.116,4.271
25630,48.1437282,17.1968926,136.202,4.225
26015,48.1437366,17.1969109,136.195,4.327
26400,48.1437449,17.1969321,136.328,4.159
26785,48.1437538,17.1969503,136.231,4.359
27225,48.1437629,17.1969673,136.193,4.279
27610,48.143772,17.1969848,136.03,4.232
27995,48.1437823,17.1970057,136.148,4.295
28380,48.1437925,17.1970227,136.1,4.529
28820,48.1438019,17.1970407,135.989,4.358
29205,48.143812,17.1970588,136.028,4.476
29590,48.1438225,17.1970799,136.05,4.391
30030,48.1438313,17.197102,136.296,4.134
30415,48.1438398,17.1971215,136.518,4.376
30855,48.1438488,17.1971389,136.465,4.347
