Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1429095,17.1139809,139.108,5.069
385,48.1429222,17.1139632,139.055,4.926
825,48.1429348,17.1139405,139.184,4.811
1210,48.1429464,17.1139221,139.2,4.643
1595,48.1429581,17.1139042,139.135,4.665
1980,48.1429707,17.1138813,139.42,4.814
2420,48.1429828,17.1138635,139.628,4.818
2805,48.1429939,17.1138447,139.697,4.818
3190,48.143006,17.1138275,139.681,4.875
3575,48.1430193,17.1138073,139.644,4.72
4020,48.1430301,17.1137893,139.625,4.667
4400,48.1430415,17.113772,139.527,4.69
4785,48.1430534,17.1137514,139.355,4.633
5170,48.1430644,17.1137341,139.251,4.574
5610,48.1430752,17.113716,139.122,4.566
5995,48.1430868,17.1136983,139.136,4.63
6380,48.1431019,17.1136791,138.505,4.619
6765,48.1431135,17.1136627,138.069,4.584
7205,48.1431245,17.1136447,137.998,4.633
7590,48.1431349,17.1136271,137.878,4.442
7975,48.1431466,17.1136066,137.669,4.66
8415,48.1431572,17.1135894,137.443,4.577
8800,48.1431681,17.113573,137.221,4.636
9185,48.1431779,17.1135554,136.946,4.441
9570,48.1431875,17.1135324,136.654,4.522
10010,48.1431938,17.1135126,136.2,4.307
10395,48.1432021,17.1134957,135.639,4.218
10780,48.1432099,17.1134764,134.796,4.149
11220,48.1432196,17.1134564,134.748,4.332
11605,48.1432295,17.113434,134.934,4.542
11990,48.1432395,17.1134135,135.001,4.409
12375,48.143254,17.113393,135.113,4.528
12815,48.1432724,17.1133773,135.889,4.688
13200,48.1432883,17.11336,136.446,4.858
13585,48.1433038,17.1133439,136.822,4.896
14025,48.143321,17.1133256,137.288,4.717
14410,48.143336,17.1133076,137.861,4.987
14795,48.14335,17.1132896,138.389,4.851
15180,48.1433647,17.1132703,138.749,4.794
15620,48.1433774,17.113255,138.953,4.655
16005,48.1433895,17.1132381,139.208,4.705
16390,48.1434011,17.1132202,139.683,4.624
16775,48.1434125,17.1131985,140.351,4.488
17215,48.1434252,17.1131826,140.796,4.523
17600,48.1434397,17.1131705,140.992,4.546
17985,48.1434541,17.1131563,141.297,4.408
18425,48.1434676,17.1131462,141.488,4.251
18810,48.1434839,17.1131385,141.697,4.566
19195,48.1435007,17.113132,141.931,4.639
19580,48.1435222,17.113127,142.201,5.061
20020,48.1435383,17.1131211,142.594,4.674
20405,48.1435554,17.1131172,142.976,4.518
20790,48.143573,17.1131138,143.227,4.496
21175,48.1435901,17.113107,143.609,4.405
21615,48.1436054,17.1131016,143.728,4.469
22000,48.143621,17.1130957,143.933,4.525
22385,48.1436401,17.1130903,144.114,4.687
22825,48.1436586,17.1130869,144.118,4.88
23210,48.1436789,17.1130859,144.338,4.765
23595,48.1436989,17.1130849,144.491,4.767
23980,48.1437208,17.1130826,144.665,4.716
24420,48.1437362,17.1130785,144.601,4.585
24805,48.1437511,17.1130757,144.229,4.544
25190,48.1437671,17.113071,144.348,4.527
25575,48.143784,17.1130644,144.551,4.404
26020,48.1437986,17.1130591,144.918,4.237
26400,48.1438116,17.1130525,145.402,4.059
26785,48.1438272,17.1130474,145.736,3.968
27170,48.1438412,17.1130431,145.912,4.031
27610,48.1438544,17.1130389,146.091,3.97
27995,48.143868,17.1130366,146.008,3.986
28380,48.1438811,17.1130314,146.273,4.09
28765,48.1438965,17.113027,146.386,4.043
29205,48.1439093,17.1130224,146.663,3.903
29590,48.1439253,17.1130257,146.388,4.146
29975,48.14394,17.1130232,146.52,3.863
30415,48.1439533,17.1130222,146.67,3.798
30800,48.1439657,17.1130183,146.879,3.818
31185,48.1439771,17.1130073,147.605,3.703
31570,48.1439866,17.1129973,148.292,3.503
32010,48.1439977,17.112991,148.619,3.56
32395,48.1440086,17.1129837,148.997,3.487
32780,48.1440234,17.1129813,148.933,3.598
