Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1547141,17.2299206,135.138,4.874
385,48.1547144,17.2299454,135.151,4.846
770,48.1547134,17.2299741,135.193,4.909
1155,48.1547125,17.2300002,135.17,4.969
1595,48.1547118,17.2300257,135.158,4.891
1980,48.1547097,17.230052,135.159,5.125
2365,48.1547079,17.230079,135.136,5.123
2750,48.1547055,17.2301135,134.992,5.173
3190,48.1547027,17.2301407,134.964,5.34
3575,48.1547008,17.2301641,134.9,5.191
3960,48.1546979,17.2301951,134.828,5.246
4400,48.1546957,17.2302227,134.754,5.339
4785,48.1546939,17.2302467,134.701,5.414
5170,48.1546918,17.2302787,134.651,5.404
5555,48.1546903,17.230307,134.587,5.513
5995,48.154689,17.2303396,134.586,5.505
6380,48.1546879,17.2303678,134.599,5.452
6765,48.1546866,17.2303999,134.598,5.398
7205,48.1546844,17.2304285,134.566,5.426
7590,48.1546825,17.2304572,134.527,5.548
7975,48.1546802,17.2304896,134.537,5.551
8360,48.1546781,17.2305175,134.575,5.402
8800,48.1546771,17.2305493,134.627,5.28
9185,48.1546755,17.2305774,134.622,5.342
9570,48.1546754,17.2306013,134.643,5.377
9955,48.1546745,17.2306334,134.693,5.544
10395,48.1546739,17.2306615,134.739,5.532
10780,48.1546739,17.2306858,134.752,5.41
11165,48.1546734,17.2307182,134.78,5.367
11605,48.1546741,17.2307466,134.822,5.431
11990,48.1546744,17.2307791,134.849,5.507
12375,48.1546753,17.2308069,134.905,5.488
12760,48.1546754,17.2308355,134.969,5.65
13200,48.1546746,17.2308687,135.015,5.49
13585,48.1546747,17.2308973,135.055,5.492
13970,48.1546739,17.23093,135.048,5.591
14410,48.1546732,17.2309545,135.061,5.635
14795,48.154672,17.230983,135.097,5.487
15180,48.1546699,17.2310159,135.102,5.595
15565,48.1546686,17.2310444,135.138,5.509
16005,48.1546665,17.2310771,135.12,5.548
16390,48.1546657,17.231106,135.137,5.63
16775,48.1546646,17.2311392,135.11,5.718
17160,48.1546636,17.2311681,135.12,5.613
17600,48.1546629,17.2311969,135.109,5.488
17985,48.1546616,17.2312259,135.105,5.594
18370,48.1546605,17.2312591,135.105,5.611
18755,48.1546592,17.2312838,135.094,5.572
19195,48.1546576,17.2313172,135.084,5.68
19580,48.1546556,17.2313463,135.049,5.618
