Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1601895,17.2525743,132.35,5.097
385,48.1601668,17.2525718,132.318,4.969
770,48.1601488,17.2525706,132.334,5.089
1210,48.1601308,17.2525678,132.294,5.24
1540,48.1601101,17.2525651,132.252,5.314
1980,48.1600921,17.2525628,132.209,5.258
2365,48.1600739,17.2525596,132.146,5.183
2805,48.1600554,17.2525572,132.172,5.31
3190,48.1600374,17.252554,132.186,5.325
3575,48.1600172,17.2525498,132.204,5.011
3960,48.1599994,17.2525456,132.269,5.161
4400,48.1599794,17.2525394,132.291,5.255
4785,48.1599643,17.2525355,132.275,5.206
5170,48.1599472,17.2525297,132.196,5.127
5555,48.1599275,17.2525236,132.206,5.029
5995,48.1599123,17.2525198,132.153,5.153
6380,48.1598919,17.252514,132.143,5.269
6765,48.1598718,17.2525087,132.208,5.161
7205,48.1598537,17.2525048,132.15,5.214
7645,48.1598357,17.2525005,132.113,5.193
7975,48.1598171,17.2524966,132.075,5.379
8415,48.1597963,17.2524914,132.085,5.38
8800,48.1597779,17.2524868,132.07,5.403
9185,48.1597598,17.2524823,132.047,5.232
9570,48.1597389,17.252477,132.036,5.306
10010,48.1597203,17.2524724,132.005,5.348
10395,48.1596997,17.2524653,131.946,5.26
10780,48.1596844,17.2524602,131.905,5.137
11165,48.1596659,17.2524534,131.925,5.427
11550,48.1596457,17.2524455,131.933,5.116
11990,48.159628,17.2524381,131.94,5.226
12375,48.1596082,17.2524285,131.969,5.329
12815,48.1595909,17.2524207,131.942,5.154
13200,48.1595734,17.2524124,131.907,5.318
13640,48.1595545,17.2524018,131.905,4.993
13970,48.1595367,17.2523932,131.969,5.345
14410,48.1595172,17.252383,131.937,5.363
14795,48.1594992,17.2523748,131.878,5.498
15180,48.1594839,17.2523677,131.858,5.429
15565,48.1594658,17.2523583,131.852,5.642
16005,48.1594475,17.2523505,131.806,5.433
16390,48.1594267,17.2523402,131.804,5.526
16775,48.1594085,17.2523312,131.807,5.561
17215,48.1593905,17.2523218,131.787,5.495
17545,48.1593677,17.2523084,131.756,5.371
17985,48.15935,17.2522981,131.743,5.206
18370,48.1593321,17.252287,131.77,5.54
18810,48.159311,17.2522749,131.751,5.707
19195,48.1592928,17.2522638,131.746,5.762
19525,48.1592746,17.2522532,131.721,5.605
19965,48.1592589,17.2522442,131.721,5.635
20405,48.1592385,17.2522309,131.721,5.483
20790,48.15922,17.2522196,131.725,5.626
21175,48.1592021,17.2522084,131.685,5.566
21560,48.159184,17.2521982,131.662,5.614
22000,48.1591633,17.2521862,131.73,5.491
22385,48.1591427,17.2521744,131.714,5.517
22770,48.1591248,17.2521639,131.728,5.393
23210,48.1591074,17.2521519,131.759,5.393
23540,48.1590876,17.2521394,131.723,5.427
23980,48.1590703,17.2521268,131.762,5.541
24365,48.1590529,17.2521153,131.764,5.381
24805,48.1590354,17.252104,131.738,5.434
25190,48.1590153,17.2520902,131.738,5.477
25575,48.1589975,17.2520786,131.677,5.599
26015,48.1589798,17.2520661,131.626,5.699
26400,48.1589623,17.2520547,131.617,5.541
26785,48.1589446,17.252043,131.606,5.554
27170,48.1589267,17.2520317,131.675,5.691
27555,48.1589056,17.2520194,131.624,5.711
27995,48.1588874,17.252008,131.597,5.789
28380,48.1588693,17.2519973,131.56,5.651
28820,48.1588485,17.2519846,131.518,5.635
29205,48.1588299,17.2519739,131.524,5.777
29645,48.1588117,17.2519633,131.479,5.655
29975,48.1587906,17.2519511,131.446,5.569
30415,48.1587721,17.2519409,131.416,5.444
30800,48.1587535,17.2519295,131.408,5.785
31185,48.1587349,17.2519189,131.362,5.711
31570,48.1587172,17.2519074,131.362,5.612
32010,48.1586989,17.2518957,131.339,5.721
32395,48.1586777,17.2518829,131.307,5.855
32780,48.1586594,17.2518714,131.286,5.739
