Milliseconds,Latitude,Longitude,Altitude,Speed
0,48.1217202,17.1498933,134.528,5.039
385,48.1217046,17.1498765,134.451,4.892
825,48.1216916,17.1498607,134.383,4.749
1210,48.1216776,17.1498458,134.449,4.899
1595,48.1216642,17.1498303,134.435,4.991
1980,48.1216502,17.1498151,134.456,5.035
2365,48.1216354,17.1498019,134.585,4.788
2805,48.1216213,17.149787,134.715,4.953
3190,48.1216072,17.1497718,134.743,4.922
3575,48.121591,17.1497552,134.761,4.934
4015,48.1215747,17.1497386,134.836,4.893
4291,48.12156,17.1497253,134.843,4.891
4785,48.1215433,17.1497103,134.805,4.893
5170,48.1215287,17.1496973,134.773,4.649
5610,48.1215117,17.1496837,134.731,4.758
5995,48.1214996,17.1496726,134.696,4.872
6380,48.1214848,17.1496602,134.676,4.801
6765,48.1214697,17.1496484,134.64,4.936
7205,48.121455,17.149636,134.697,4.85
7590,48.1214403,17.1496235,134.697,4.935
7975,48.1214274,17.1496133,134.662,4.872
8360,48.1214071,17.1495946,134.656,4.705
8800,48.1213931,17.1495809,134.697,4.777
9185,48.1213787,17.1495674,134.752,4.884
9570,48.1213649,17.149554,134.786,4.7
10010,48.1213488,17.1495388,134.902,4.763
10340,48.1213355,17.1495248,134.924,4.68
10780,48.1213197,17.1495084,134.994,4.682
11220,48.121304,17.1494926,134.998,4.813
11605,48.1212904,17.1494789,135.043,4.8
11990,48.1212768,17.1494651,134.979,4.734
12375,48.1212649,17.1494537,134.986,4.781
12815,48.1212515,17.1494391,134.897,4.898
13200,48.1212382,17.149424,134.875,4.769
13585,48.1212243,17.1494092,134.804,4.944
14025,48.1212117,17.149393,134.697,4.807
14410,48.1211962,17.1493723,134.723,4.753
14795,48.1211849,17.1493562,134.869,4.414
15180,48.1211725,17.149341,134.852,4.51
15620,48.1211581,17.1493244,134.83,4.521
16005,48.1211447,17.1493116,134.823,4.615
16390,48.1211315,17.1492993,134.803,4.458
16830,48.1211178,17.1492879,134.878,4.473
17215,48.1211015,17.1492757,134.836,4.558
17600,48.1210879,17.1492654,134.841,4.415
17985,48.1210735,17.1492568,134.889,4.508
18370,48.1210587,17.1492481,134.925,4.47
18810,48.1210419,17.1492377,134.936,4.547
19195,48.121027,17.1492297,135.024,4.429
19580,48.1210122,17.1492226,134.994,4.405
20020,48.120996,17.1492131,135,4.344
20405,48.1209816,17.1492048,135.027,4.472
20790,48.1209675,17.1491972,134.993,4.263
21230,48.1209532,17.1491874,134.971,4.375
21615,48.1209377,17.1491765,134.981,4.415
22000,48.1209239,17.1491655,135.053,4.47
22385,48.1209091,17.1491514,135.037,4.343
22825,48.1208965,17.1491386,135.049,4.393
23210,48.120884,17.1491262,135.015,4.34
23595,48.1208716,17.1491143,135.061,4.208
23980,48.1208592,17.1491023,135.086,4.059
24365,48.1208475,17.1490897,135.042,4.272
24805,48.1208356,17.1490776,134.976,4.188
25190,48.1208232,17.1490661,134.976,4.257
25575,48.1208085,17.1490521,135.015,3.962
26015,48.1207962,17.1490419,134.941,4.079
26400,48.1207841,17.1490317,134.912,4.068
26785,48.1207723,17.1490224,134.925,3.843
27170,48.1207597,17.1490152,134.97,3.775
27610,48.1207453,17.149007,134.892,3.886
27995,48.1207327,17.1489999,134.838,3.813
28380,48.1207199,17.1489922,134.868,3.917
28820,48.1207054,17.1489848,134.952,3.815
29205,48.1206933,17.148978,135.116,3.516
29590,48.1206822,17.1489703,135.156,3.49
30030,48.1206705,17.1489628,135.218,3.672
30360,48.1206574,17.1489552,135.273,3.608
30800,48.120645,17.1489475,135.31,3.779
31185,48.1206323,17.1489418,135.312,3.824
31625,48.1206188,17.148937,135.336,3.871
32010,48.1206033,17.1489323,135.346,3.926
32395,48.1205891,17.148931,135.267,3.977
32780,48.1205744,17.1489286,135.233,3.847
33220,48.1205605,17.1489245,135.318,3.973
33605,48.1205467,17.1489207,135.31,3.968
33990,48.1205331,17.1489171,135.304,3.906
34375,48.1205195,17.1489128,135.337,3.933
34815,48.1205042,17.1489069,135.322,3.928
35200,48.1204906,17.1489014,135.387,4.033
35585,48.120477,17.1488953,135.405,3.874
36025,48.120464,17.1488879,135.428,4.099
36410,48.1204491,17.1488781,135.4,4.163
36795,48.1204358,17.1488698,135.409,4.227
37180,48.1204229,17.1488604,135.456,3.993
37620,48.1204087,17.1488482,135.463,3.971
38005,48.1203963,17.1488375,135.34,4.151
38390,48.120384,17.148826,135.278,4.122
38830,48.1203728,17.1488133,135.221,4.117
39215,48.1203598,17.1487991,135.196,3.998
39600,48.1203491,17.1487848,135.188,4.095
39985,48.1203387,17.1487707,135.17,4.018
40370,48.1203286,17.1487569,135.149,3.701
40810,48.1203149,17.1487438,135.154,4.038
41195,48.1203026,17.1487342,135.177,3.962
41580,48.1202889,17.1487253,135.302,4.339
42020,48.1202757,17.1487163,135.333,4.19
42405,48.1202613,17.1487046,135.344,4.038
42790,48.1202493,17.1486916,135.387,4.309
43175,48.1202386,17.1486779,135.458,4.135
43615,48.1202271,17.1486603,135.49,4.083
44000,48.1202173,17.1486436,135.445,4.114
44385,48.1202061,17.1486252,135.46,4.108
44825,48.1201965,17.1486091,135.517,4.031
45210,48.1201875,17.1485917,135.613,4.27
45595,48.1201784,17.1485746,135.576,4.253
45980,48.1201689,17.1485574,135.601,4.2
46365,48.1201592,17.148542,135.541,4.168
46805,48.1201482,17.1485283,135.507,4.232
47190,48.1201358,17.1485174,135.41,4.185
47575,48.1201219,17.1485061,135.405,4.088
48015,48.1201065,17.148496,135.233,4.243
48400,48.120094,17.1484876,135.191,4.008
48785,48.1200809,17.1484784,135.199,4.132
49225,48.1200672,17.1484697,135.215,4.226
49610,48.1200533,17.1484598,135.251,3.913
49995,48.1200405,17.1484504,135.402,4.043
50380,48.1200283,17.1484408,135.455,4.179
50820,48.1200144,17.1484285,135.469,4.02
51205,48.1200019,17.1484197,135.519,3.889
51590,48.1199898,17.1484082,135.515,4.062
52030,48.1199777,17.1483965,135.515,4.124
52360,48.119964,17.1483831,135.669,4.057
52800,48.1199528,17.1483713,135.744,3.992
53185,48.1199408,17.1483582,135.704,4.299
53625,48.1199288,17.1483453,135.689,4.338
54010,48.1199168,17.1483311,135.71,3.935
54395,48.1199055,17.1483169,135.704,4.218
54835,48.1198929,17.1483018,135.66,4.112
55220,48.119882,17.1482902,135.625,3.883
55605,48.1198717,17.1482789,135.46,3.878
55990,48.1198617,17.1482679,135.288,3.7
56375,48.1198499,17.1482573,135.415,3.835
56815,48.1198363,17.1482437,135.632,3.979
57200,48.1198249,17.1482313,135.61,4.174
57585,48.1198124,17.14822,135.557,4.22
57970,48.1198018,17.1482105,135.232,3.882
58410,48.119787,17.148199,135.189,4.229
58795,48.1197733,17.1481866,135.45,4.445
59180,48.11976,17.1481774,135.399,4.288
59620,48.1197445,17.148168,135.075,4.443
60005,48.1197301,17.1481592,135.059,4.52
60390,48.1197153,17.1481473,135.155,4.726
60775,48.1197006,17.1481353,135.211,4.891
61215,48.119685,17.1481212,135.263,4.584
61600,48.1196719,17.1481096,135.258,4.485
61985,48.1196589,17.1480963,135.322,4.491
62370,48.1196465,17.1480839,135.266,4.296
62810,48.1196323,17.1480703,135.14,4.306
63195,48.1196201,17.1480594,135.189,4.008
63580,48.119608,17.1480488,135.033,4.081
64020,48.1195941,17.1480352,135.091,4.144
64405,48.1195804,17.1480232,135.123,4.443
64790,48.1195669,17.1480125,134.937,4.366
65175,48.1195533,17.1480006,135.025,4.299
65615,48.1195374,17.1479894,134.938,4.331
66000,48.1195233,17.1479798,135.002,4.088
66385,48.1195075,17.1479702,134.923,4.144
66825,48.1194932,17.1479634,134.85,4.225
67210,48.1194796,17.1479563,134.743,4.158
67595,48.1194657,17.1479484,134.71,4.272
67980,48.1194511,17.1479421,134.605,4.549
68420,48.1194357,17.1479369,134.506,4.483
68805,48.1194203,17.1479301,134.541,4.525
69190,48.1194048,17.147925,134.506,4.629
69630,48.1193871,17.1479179,134.476,4.558
70015,48.1193693,17.1479104,134.42,4.63
70400,48.1193537,17.1479039,134.369,4.714
70785,48.1193388,17.1478956,134.341,4.691
71225,48.119324,17.1478864,134.297,4.678
71610,48.1193065,17.1478758,134.234,4.79
71995,48.1192924,17.1478687,134.047,4.451
72380,48.1192782,17.1478617,134.1,4.334
72820,48.1192631,17.1478561,134.123,3.832
73205,48.1192509,17.1478547,134.151,3.533
73590,48.119237,17.1478551,134.079,3.818
73975,48.1192247,17.1478579,133.939,3.59
74415,48.119211,17.1478637,133.986,3.579
74800,48.1191975,17.1478675,133.905,3.852
75185,48.1191857,17.1478666,133.75,3.383
75625,48.119171,17.1478675,133.815,3.863
76010,48.1191566,17.1478678,133.791,4
76395,48.1191422,17.1478661,133.937,4.104
76780,48.1191262,17.1478628,133.776,4.073
77220,48.1191136,17.1478593,133.992,3.849
77605,48.1190987,17.1478518,133.882,4.262
77990,48.1190858,17.147848,133.826,3.906
78375,48.1190688,17.1478443,134.092,4.211
78815,48.1190551,17.1478441,133.881,4.029
79200,48.1190392,17.1478448,133.839,4.511
79585,48.1190241,17.1478476,133.624,4.402
80025,48.1190125,17.1478524,133.341,3.655
80410,48.1189956,17.147853,133.271,4.205
80795,48.1189807,17.1478547,133.161,4.31
81180,48.118964,17.1478574,133.168,4.735
81620,48.1189446,17.147856,133.449,4.71
82005,48.1189313,17.1478599,133.027,4.312
82390,48.1189168,17.1478616,133.078,4.245
82830,48.1189011,17.1478638,133.219,4.399
83215,48.1188835,17.1478627,133.422,4.236
83600,48.1188697,17.1478635,133.228,4.139
83985,48.1188565,17.1478644,132.942,3.871
84370,48.1188388,17.147869,132.874,4.327
84810,48.1188228,17.1478717,133.014,4.493
85195,48.1188075,17.1478736,133.116,4.334
85580,48.1187924,17.1478746,133.032,4.267
86020,48.1187753,17.1478721,133.071,4.041
86405,48.11876,17.1478688,133.102,4.385
86790,48.1187434,17.1478669,133.025,4.543
87230,48.1187282,17.1478613,132.877,4.368
87615,48.1187119,17.1478543,132.569,4.458
88000,48.1186969,17.1478491,132.367,4.318
88385,48.1186829,17.1478441,132.018,4.17
88825,48.1186655,17.1478378,131.659,4.325
89210,48.1186503,17.1478316,131.428,4.518
89595,48.1186348,17.1478246,131.516,4.521
89980,48.1186206,17.1478184,131.404,3.906
90365,48.1186013,17.1478096,131.793,4.653
90805,48.1185845,17.147801,131.982,4.766
